"time","soc","T_core_C","voltage_V","current_A","pump_cmd","fan_cmd","mode","coolant_in_temp_C","coolant_flow_kgps","T_surface_C"
0.0,0.8,30.0,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.0
1.0,0.8,30.00000022834441,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.004626737210714
2.0,0.8,30.00000096363949,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.009247052623554
3.0,0.8,30.000002205126,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.013860955386505
4.0,0.8,30.000003952045784,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.018468454634515
5.0,0.8,30.000006203641764,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.023069559489475
6.0,0.8,30.00000895915795,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.02766427906029
7.0,0.8,30.000012217839437,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.03225262244286
8.0,0.8,30.000015978932396,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.036834598720116
9.0,0.8,30.00002024168407,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.04141021696203
10.0,0.8,30.00002500534278,381.184,0.0,0.0,0.0,0.0,35.0,0.0,30.045979486225637
11.0,0.7997799525586672,30.008758863260375,378.4253993403977,47.56538501728902,0.0,0.0,0.0,35.0,0.0,30.050544231868756
12.0,0.7995597390660981,30.017499857996093,378.4148482309522,47.56671121786846,0.0,0.0,0.0,35.0,0.0,30.055106685451616
13.0,0.7993395194327026,30.02624081828554,378.40429455772056,47.56803781467815,0.0,0.0,0.0,35.0,0.0,30.05966685047375
14.0,0.7991192936566459,30.03498174400267,378.3937383199206,47.56936480787655,0.0,0.0,0.0,35.0,0.0,30.06422473009577
15.0,0.7988990617360924,30.04372263502184,378.38317951676925,47.570692197622236,0.0,0.0,0.0,35.0,0.0,30.06878032747383
16.0,0.7986788236692061,30.052463491217782,378.3726181474828,47.57201998407396,0.0,0.0,0.0,35.0,0.0,30.073333645759664
17.0,0.7984585794541498,30.06120431246563,378.36205421127653,47.573348167390556,0.0,0.0,0.0,35.0,0.0,30.077884688100553
18.0,0.7982383290890859,30.069945098640908,378.35148770736527,47.574676747731054,0.0,0.0,0.0,35.0,0.0,30.08243345763936
19.0,0.7980180725721757,30.07868584961954,378.3409186349629,47.57600572525462,0.0,0.0,0.0,35.0,0.0,30.08697995751454
20.0,0.7977978099015802,30.087426565277823,378.33034699328266,47.57733510012052,0.0,0.0,0.0,35.0,0.0,30.091524190860117
21.0,0.7975775410754594,30.09616724549245,378.31977278153676,47.578664872488204,0.0,0.0,0.0,35.0,0.0,30.096066160805716
22.0,0.7973572660919725,30.104907890140513,378.3091959989371,47.57999504251725,0.0,0.0,0.0,35.0,0.0,30.100605870476556
23.0,0.7971369849492781,30.113648499099494,378.2986166446944,47.581325610367344,0.0,0.0,0.0,35.0,0.0,30.105143322993474
24.0,0.7969166976455342,30.12238907224724,378.28803471801876,47.58265657619838,0.0,0.0,0.0,35.0,0.0,30.109678521472897
25.0,0.7966964041788975,30.131129609462015,378.27745021811944,47.58398794017033,0.0,0.0,0.0,35.0,0.0,30.114211469026888
26.0,0.7964761045475247,30.139870110622446,378.26686314420516,47.58531970244337,0.0,0.0,0.0,35.0,0.0,30.11874216876313
27.0,0.7962557987495713,30.148610575607563,378.25627349548375,47.58665186317773,0.0,0.0,0.0,35.0,0.0,30.123270623784936
28.0,0.796035486783192,30.15735100429677,378.2456812711622,47.58798442253388,0.0,0.0,0.0,35.0,0.0,30.127796837191255
29.0,0.7958151686465411,30.166091396569875,378.23508647044673,47.58931738067236,0.0,0.0,0.0,35.0,0.0,30.132320812076674
30.0,0.7955948443377718,30.17483175230706,378.22448909254297,47.59065073775388,0.0,0.0,0.0,35.0,0.0,30.136842551531437
31.0,0.795374513855037,30.183572071388884,378.2138891366556,47.591984493939286,0.0,0.0,0.0,35.0,0.0,30.141362058641434
32.0,0.7951541771964884,30.19231235369631,378.20328660198857,47.59331864938959,0.0,0.0,0.0,35.0,0.0,30.14587933648823
33.0,0.7949338343602775,30.20105259911067,378.1926814877452,47.5946532042659,0.0,0.0,0.0,35.0,0.0,30.15039438814905
34.0,0.7947134853445542,30.20979280751368,378.18207379312787,47.5959881587295,0.0,0.0,0.0,35.0,0.0,30.154907216696795
35.0,0.794493130147468,30.21853297878745,378.1714635173382,47.59732351294181,0.0,0.0,0.0,35.0,0.0,30.15941782520004
36.0,0.7942727687671685,30.227273112814466,378.1608506595773,47.5986592670644,0.0,0.0,0.0,35.0,0.0,30.163926216723052
37.0,0.7940524012018034,30.23601320947759,378.15023521904516,47.59999542125895,0.0,0.0,0.0,35.0,0.0,30.168432394325777
38.0,0.7938320274495202,30.24475326866008,378.13961719494114,47.60133197568732,0.0,0.0,0.0,35.0,0.0,30.172936361063886
39.0,0.7936116475084656,30.25349329024557,378.12899658646387,47.602668930511506,0.0,0.0,0.0,35.0,0.0,30.177438119988743
40.0,0.7933912613767854,30.262233274118064,378.1183733928113,47.60400628589362,0.0,0.0,0.0,35.0,0.0,30.18193767414741
41.0,0.7931708690526247,30.270973220161952,378.1077476131803,47.605344041995934,0.0,0.0,0.0,35.0,0.0,30.186435026582675
42.0,0.7929504705341281,30.279713128262017,378.0971192467673,47.606682198980884,0.0,0.0,0.0,35.0,0.0,30.190930180333055
43.0,0.7927300658194392,30.28845299830341,378.08648829276785,47.60802075701101,0.0,0.0,0.0,35.0,0.0,30.195423138432798
44.0,0.7925096549067008,30.29719283017165,378.07585475037666,47.60935971624904,0.0,0.0,0.0,35.0,0.0,30.19991390391187
45.0,0.792289237794055,30.305932623752653,378.0652186187878,47.61069907685779,0.0,0.0,0.0,35.0,0.0,30.204402479795995
46.0,0.7920688144796434,30.31467237893271,378.05457989719434,47.61203883900027,0.0,0.0,0.0,35.0,0.0,30.20888886910664
47.0,0.7918483849616066,30.323412095598478,378.0439385847888,47.613379002839594,0.0,0.0,0.0,35.0,0.0,30.21337307486103
48.0,0.7916279492380843,30.332151773637,378.0332946807627,47.61471956853905,0.0,0.0,0.0,35.0,0.0,30.21785510007213
49.0,0.791407507307216,30.3408914129357,378.0226481843073,47.61606053626206,0.0,0.0,0.0,35.0,0.0,30.222334947748696
50.0,0.7911870591671394,30.34963101338237,378.0119990946124,47.61740190617219,0.0,0.0,0.0,35.0,0.0,30.226812620895235
51.0,0.7909666048159926,30.358370574865184,378.00134741086754,47.61874367843315,0.0,0.0,0.0,35.0,0.0,30.23128812251205
52.0,0.790746144251912,30.367110097272676,377.9906931322612,47.62008585320877,0.0,0.0,0.0,35.0,0.0,30.23576145559522
53.0,0.7905256774730343,30.37584958049378,377.98003625798134,47.621428430663045,0.0,0.0,0.0,35.0,0.0,30.240232623136606
54.0,0.7903052044774944,30.38458902441778,377.9693767872148,47.62277141096015,0.0,0.0,0.0,35.0,0.0,30.244701628123877
55.0,0.7900847252634272,30.393328428934346,377.9587147191479,47.62411479426432,0.0,0.0,0.0,35.0,0.0,30.249168473540497
56.0,0.7898642398289663,30.402067793933515,377.9480500529663,47.62545858074003,0.0,0.0,0.0,35.0,0.0,30.25363316236574
57.0,0.7896437481722447,30.4108071193057,377.9373827878546,47.62680277055182,0.0,0.0,0.0,35.0,0.0,30.258095697574692
58.0,0.7894232502913949,30.419546404941695,377.9267129229966,47.62814736386441,0.0,0.0,0.0,35.0,0.0,30.262556082138268
59.0,0.7892027461845483,30.42828565073265,377.9160404575756,47.62949236084267,0.0,0.0,0.0,35.0,0.0,30.267014319023197
60.0,0.7889822358498355,30.43702485657011,377.90536539077414,47.630837761651605,0.0,0.0,0.0,35.0,0.0,30.271470411192045
61.0,0.7887617192853867,30.44576402234595,377.89468772177355,47.63218356645636,0.0,0.0,0.0,35.0,0.0,30.275924361603217
62.0,0.788541196489331,30.45450314795246,377.88400744975496,47.633529775422225,0.0,0.0,0.0,35.0,0.0,30.280376173210954
63.0,0.788320667459797,30.463242233282283,377.8733245738982,47.63487638871465,0.0,0.0,0.0,35.0,0.0,30.284825848965358
64.0,0.7881001321949122,30.47198127822842,377.8626390933826,47.63622340649922,0.0,0.0,0.0,35.0,0.0,30.289273391812383
65.0,0.7878795906928038,30.480720282684256,377.85195100738684,47.63757082894165,0.0,0.0,0.0,35.0,0.0,30.29371880469384
66.0,0.7876590429515975,30.48945924654354,377.8412603150884,47.63891865620783,0.0,0.0,0.0,35.0,0.0,30.29816209054741
67.0,0.787438488969419,30.498198169700384,377.8305670156645,47.64026688846377,0.0,0.0,0.0,35.0,0.0,30.302603252306653
68.0,0.7872179287443931,30.506937052049278,377.819871108291,47.64161552587563,0.0,0.0,0.0,35.0,0.0,30.307042292900995
69.0,0.7869973622746435,30.515675893485078,377.8091725921437,47.64296456860975,0.0,0.0,0.0,35.0,0.0,30.311479215255762
70.0,0.7867767895582931,30.524414693902997,377.79847146639696,47.64431401683256,0.0,0.0,0.0,35.0,0.0,30.315914022292155
71.0,0.7865562105934645,30.533153453198626,377.78776773022463,47.64566387071067,0.0,0.0,0.0,35.0,0.0,30.320346716927297
72.0,0.7863356253782791,30.541892171267907,377.7770613827999,47.64701413041083,0.0,0.0,0.0,35.0,0.0,30.32477730207418
73.0,0.7861150339108577,30.550630848007167,377.7663524232949,47.64836479609993,0.0,0.0,0.0,35.0,0.0,30.32920578064173
74.0,0.7858944361893201,30.559369483313084,377.7556408508813,47.649715867945005,0.0,0.0,0.0,35.0,0.0,30.333632155534776
75.0,0.7856738322117858,30.568108077082705,377.74492666472975,47.651067346113265,0.0,0.0,0.0,35.0,0.0,30.33805642965407
76.0,0.7854532219763731,30.576846629213442,377.7342098640102,47.65241923077202,0.0,0.0,0.0,35.0,0.0,30.3424786058963
77.0,0.7852326054811999,30.58558513960306,377.72349044789183,47.653771522088725,0.0,0.0,0.0,35.0,0.0,30.346898687154077
78.0,0.7850119827243827,30.594323608149722,377.712768415543,47.65512422023105,0.0,0.0,0.0,35.0,0.0,30.35131667631595
