"time","x_m","theta_rad","theta_hat_rad","bias_hat_rps","force_cmd_N","mode"
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,7.353397921622449e-05,-0.00019875274550479595,4.54714603203977e-05,1.782481244559589e-06,-15.0,0.0
0.02,0.0003070718404979978,-0.0008304897123938495,-1.697174960589463e-05,-6.652925845510718e-07,-15.0,0.0
0.03,0.0004435473849737937,-0.001201896719120036,-0.0001671823993574245,-6.553550054811046e-06,15.0,0.0
0.04,0.0006215246317414535,-0.0016885708844842462,-0.0007034738167953924,-2.7576173618379393e-05,-15.0,0.0
0.05,0.0008101442881343049,-0.002208343554676305,-0.0010312002660739375,-4.042305043009835e-05,15.0,0.0
0.06,0.0009705333485095743,-0.0026575317447478045,-0.0012957014310208779,-5.079149609601841e-05,15.0,0.0
0.07,0.0013855779382616418,-0.0038020153266123827,-0.0018280393378548602,-7.16591420439105e-05,-15.0,0.0
0.08,0.0015121767570003132,-0.004176562870268182,-0.0020244833513674435,-7.935974737360378e-05,15.0,0.0
0.09,0.0015561112240991255,-0.004338700635760309,-0.0022855255303736136,-8.959260079064565e-05,15.0,0.0
0.1,0.0018387756306266407,-0.005157611344150078,-0.0028862434817726094,-0.00011314074448548626,-15.0,0.0
0.11,0.001918482111717563,-0.005441334506076508,-0.0032875983375715992,-0.00012887385483280664,15.0,0.0
0.12,0.0020576025464985187,-0.00590004207712525,-0.003703167895482647,-0.0001451641815029197,15.0,0.0
0.13,0.002179632860017447,-0.00632805732246119,-0.004083360796534103,-0.00016006774322413673,15.0,0.0
0.14,0.002201624187365361,-0.006502339133379262,-0.00430885206397505,-0.0001689070009078219,15.0,0.0
0.15,0.0024050926553587423,-0.007184374926829495,-0.004638709126018777,-0.00018183739773993597,15.0,0.0
0.16,0.002513527925341557,-0.0076283789144328575,-0.005000950283477056,-0.0001960372511123004,15.0,0.0
0.17,0.002709957043185156,-0.008330371409940472,-0.00580909760390488,-0.0002277166260730711,-15.0,0.0
0.18,0.0028312107288641338,-0.008851041076620225,-0.006494149693825454,-0.00025457066799795765,15.0,0.0
0.19,0.0028909646360007067,-0.00922882758539336,-0.00680642287734248,-0.00026681177679182514,-15.0,0.0
0.2,0.0030333071358454203,-0.009854215554038351,-0.007212517608224528,-0.00028273069024240135,15.0,0.0
0.21,0.0030961058506060158,-0.010290554267905703,-0.007794029618437441,-0.0003055259610427477,-15.0,0.0
0.22,0.0031823429466870078,-0.01081741099737472,-0.008342876467116053,-0.0003270407575109493,15.0,0.0
0.23,0.00316968478534869,-0.011105519412588086,-0.009051360390701481,-0.0003548133273154981,15.0,0.0
0.24,0.003296781656813403,-0.011800772932344817,-0.009448515041266347,-0.00037038178961764094,-15.0,0.0
0.25,0.0033146955689644527,-0.0122319841598713,-0.009798044511410723,-0.0003840833448473006,15.0,0.0
0.26,0.003345441666111002,-0.012730219526275264,-0.010257338855842894,-0.00040208768314904176,-15.0,0.0
0.27,0.0034628366530160617,-0.013496264598702389,-0.010809241519771494,-0.0004237222675750429,15.0,0.0
0.28,0.003393878489261582,-0.013794201208731576,-0.01115817656998575,-0.00043740052154344174,15.0,0.0
0.29,0.003438677000519621,-0.014436144173390376,-0.011358773092670858,-0.0004452639052326978,-15.0,0.0
0.3,0.003382492910558795,-0.0148432170232602,-0.011845637127477196,-0.00046434897539710624,15.0,0.0
0.31,0.0034010392152469334,-0.015491571242506745,-0.012648559469576631,-0.0004958235312074042,15.0,0.0
0.32,0.003256770883190969,-0.015740763628676154,-0.013441056440523973,-0.00052688941246854,15.0,0.0
0.33,0.003181876757639604,-0.016219166043178346,-0.013961727202308734,-0.0005472997063305026,15.0,0.0
0.34,0.0030988278378438175,-0.01671838229145393,-0.014560614007824203,-0.0005707760691067088,15.0,0.0
