"time","x_m","v_mps","valve_cmd","spool_u","pA_Pa","pB_Pa"
0.0,0.05,0.0,0.0,0.0,10000000.0,5000000.0
0.01,0.04680832931827474,4.056759154983394,-1.0,-0.03206575151737234,100000.0,21000000.0
0.02,0.04541866391298023,4.086661575981954,-1.0,-0.03206575151737234,100000.0,21000000.0
0.03,0.044074550222234055,4.082285117317413,-1.0,-0.03206575151737234,100000.0,21000000.0
0.04,0.04272128069423491,4.081422953057293,-1.0,-0.03206575151737234,100000.0,21000000.0
0.05,0.04136487750143585,4.080187067772596,-1.0,-0.03206575151737234,100000.0,21000000.0
0.06,0.04000502997698526,4.078969920897057,-1.0,-0.03206575151737234,100000.0,21000000.0
0.07,0.03864206735110719,4.077731503564157,-1.0,-0.03206575151737234,100000.0,21000000.0
0.08,0.037276256736848486,4.076475621998278,-1.0,-0.03206575151737234,100000.0,21000000.0
0.09,0.035907873902020514,4.07520163464678,-1.0,-0.03206575151737234,100000.0,21000000.0
0.1,0.034537195898799056,4.073909347189991,-1.0,-0.03206575151737234,100000.0,21000000.0
0.11,0.0331645015967744,4.072598515801514,-1.0,-0.03206575151737234,100000.0,21000000.0
0.12,0.03179007141310013,4.071268897896879,-1.0,-0.03206575151737234,100000.0,20956766.372187052
0.13,0.030420383705897926,4.069529534296306,-1.0,-0.03206575151737234,100000.0,20886015.075124513
0.14,0.029059062725642824,4.067572785827903,-1.0,-0.03206575151737234,100000.0,20814518.162880614
0.15,0.027706197323527044,4.065625769444658,-1.0,-0.03206575151737234,100000.0,20744299.530897226
0.16,0.026361940482209523,4.063683785903206,-1.0,-0.03206575151737234,100000.0,20675305.093430653
0.17,0.025026438009645928,4.061746669287312,-1.0,-0.03206575151737234,100000.0,20607521.221025635
0.18,0.023699829935821884,4.059814166986858,-1.0,-0.03206575151737234,100000.0,20540933.365001407
0.19,0.02238225048072822,4.057886029972891,-1.0,-0.03206575151737234,100000.0,20475526.87415415
0.2,0.021073828055793928,4.055962011647065,-1.0,-0.03206575151737234,100000.0,20411286.99271056
0.21,0.019774685270159728,4.054041868434767,-1.0,-0.03206575151737234,100000.0,20348198.873651814
0.22,0.0184849389423442,4.052125360326977,-1.0,-0.03206575151737234,100000.0,20286247.591364283
0.23,0.01720470011727767,4.050212251404258,-1.0,-0.03206575151737234,100000.0,20225418.153932765
0.24,0.015934074088679237,4.048302310341411,-1.0,-0.03206575151737234,100000.0,20165695.515078947
0.25,0.014673160426740939,4.04639531089201,-1.0,-0.03206575151737234,100000.0,20107064.58575287
0.26,0.013422053011071501,4.044491032352059,-1.0,-0.03206575151737234,100000.0,20049510.245384447
0.27,0.012180840068840269,4.042589260002051,-1.0,-0.03206575151737234,100000.0,19993017.35280108
0.28,0.010949604218049714,4.0406897855267845,-1.0,-0.03206575151737234,100000.0,19937570.75681695
0.29,0.009728422515852715,4.038792407412288,-1.0,-0.03206575151737234,100000.0,19883155.306498654
0.3,0.00870848931793276,4.0678398968324325,-1.0,-0.03206575151737234,100000.0,20112612.748700555
0.31,0.008625118804912514,4.143281775079587,-1.0,-0.03206575151737234,100000.0,20987260.55640859
0.32,0.008541228233314376,4.142945726152843,-1.0,-0.03206575151737234,100000.0,20992960.127627157
0.33,0.008461745567042663,4.142774543755991,-1.0,-0.03206575151737234,100000.0,20997247.285566326
0.34,0.008386920966129684,4.14262770841447,-1.0,-0.03206575151737234,100000.0,21000000.0
0.35,0.008316733911473473,4.142497147810802,-1.0,-0.03206575151737234,100000.0,21000000.0
0.36,0.008251362421401068,4.142389994928895,-1.0,-0.03206575151737234,100000.0,21000000.0
0.37,0.00819050383503872,4.1422903888635965,-1.0,-0.03206575151737234,100000.0,21000000.0
0.38,0.00813384661468075,4.1421969887786,-1.0,-0.03206575151737234,100000.0,21000000.0
0.39,0.008081099174338018,4.142109400637429,-1.0,-0.03206575151737234,100000.0,21000000.0
0.4,0.008031990268386507,4.142027301440855,-1.0,-0.03206575151737234,100000.0,21000000.0
0.41,0.007986267652933357,4.141950383414099,-1.0,-0.03206575151737234,100000.0,21000000.0
0.42,0.007943696736600423,4.141878350965054,-1.0,-0.03206575151737234,100000.0,21000000.0
0.43,0.007904059323791126,4.141810920846394,-1.0,-0.03206575151737234,100000.0,21000000.0
0.44,0.007867152449848414,4.141747822350646,-1.0,-0.03206575151737234,100000.0,21000000.0
0.45,0.00783278730141675,4.141688797364715,-1.0,-0.03206575151737234,100000.0,21000000.0
0.46,0.007461108188356635,3.9784107301220764,-1.0,-0.03206575151737234,100000.0,20667533.777598783
0.47,0.006885918798900707,3.971877344160511,-1.0,-0.03206575151737234,100000.0,20782126.832577866
0.48,0.006338088030812011,3.976033781795413,-1.0,-0.03206575151737234,100000.0,20835404.670047212
0.49,0.006649150639349743,3.807447701344789,-1.0,-0.03206575151737234,100000.0,21000000.0
0.5,0.006663026545256804,3.777171033955369,-1.0,-0.03206575151737234,100000.0,21000000.0
0.51,0.006628427578141343,3.768987453463221,-1.0,-0.03206575151737234,100000.0,21000000.0
0.52,0.006585422856999104,3.7665011510887574,-1.0,-0.03206575151737234,100000.0,21000000.0
0.53,0.006543779108073494,3.7655363447681034,-1.0,-0.03206575151737234,100000.0,21000000.0
0.54,0.006505807808400897,3.7650204986260976,-1.0,-0.03206575151737234,100000.0,21000000.0
0.55,0.0064721915834942394,3.764707967199083,-1.0,-0.03206575151737234,100000.0,21000000.0
0.56,0.006443430932726955,3.764569980163512,-1.0,-0.03206575151737234,100000.0,21000000.0
0.57,0.006419743785994159,3.7645792588051012,-1.0,-0.03206575151737234,100000.0,21000000.0
0.58,0.0064006611941046804,3.7646512098534433,-1.0,-0.03206575151737234,100000.0,21000000.0
0.59,0.006385191645369599,3.7647023145180403,-1.0,-0.03206575151737234,100000.0,21000000.0
0.6,0.0063722031631566565,3.764686256342463,-1.0,-0.03206575151737234,100000.0,21000000.0
0.61,0.006360531649327008,3.7645705461874868,-1.0,-0.03206575151737234,100000.0,21000000.0
0.62,0.006348753124616246,3.7642942620422932,-1.0,-0.03206575151737234,100000.0,21000000.0
0.63,0.006334258143946299,3.763671022196396,-1.0,-0.03206575151737234,100000.0,21000000.0
0.64,0.006309047133533283,3.7619448077769997,-1.0,-0.03206575151737234,100000.0,21000000.0
0.65,0.006238029404241981,3.7554423945783375,-1.0,-0.03206575151737234,100000.0,21000000.0
0.66,0.0061317809916558545,3.748873427455005,-1.0,-0.03206575151737234,100000.0,21000000.0
0.67,0.006031204373146507,3.7467060209576792,-1.0,-0.03206575151737234,100000.0,21000000.0
0.68,0.005939364105922626,3.745434158855724,-1.0,-0.03206575151737234,100000.0,21000000.0
0.69,0.00585657004524948,3.7444688862423603,-1.0,-0.03206575151737234,100000.0,21000000.0
0.7,0.005782205292683135,3.743647734195907,-1.0,-0.03206575151737234,100000.0,21000000.0
0.71,0.005715480741069035,3.742921456730973,-1.0,-0.03206575151737234,100000.0,21000000.0
0.72,0.005655627112502028,3.742271422075916,-1.0,-0.03206575151737234,100000.0,21000000.0
0.73,0.005601938901391193,3.74168765233609,-1.0,-0.03206575151737234,100000.0,21000000.0
0.74,0.005553779830370237,3.7411629460463485,-1.0,-0.03206575151737234,100000.0,21000000.0
0.75,0.005510578766762617,3.7406912742221503,-1.0,-0.03206575151737234,100000.0,21000000.0
0.76,0.005471823704467294,3.7402673152945076,-1.0,-0.03206575151737234,100000.0,21000000.0
0.77,0.0054370557639825175,3.739886295830357,-1.0,-0.03206575151737234,100000.0,21000000.0
0.78,0.005405863670104887,3.7395439153427157,-1.0,-0.03206575151737234,100000.0,21000000.0
0.79,0.005377878776914857,3.7392362960713577,-1.0,-0.03206575151737234,100000.0,21000000.0
0.8,0.0053527706120983735,3.73895994186976,-1.0,-0.03206575151737234,100000.0,21000000.0
0.81,0.005330242892097216,3.7387117018413147,-1.0,-0.03206575151737234,100000.0,21000000.0
0.82,0.005310029958847166,3.7384887374252718,-1.0,-0.03206575151737234,100000.0,21000000.0
0.83,0.005291893592822721,3.7382884924433,-1.0,-0.03206575151737234,100000.0,21000000.0
0.84,0.005275620161808176,3.7381086658327805,-1.0,-0.03206575151737234,100000.0,21000000.0
0.85,0.005261018069272266,3.7379471868524083,-1.0,-0.03206575151737234,100000.0,21000000.0
0.86,0.0052479154702330735,3.7378021925657428,-1.0,-0.03206575151737234,100000.0,21000000.0
0.87,0.005236158226056458,3.7376720074195258,-1.0,-0.03206575151737234,100000.0,21000000.0
0.88,0.005225608072776756,3.737555124743279,-1.0,-0.03206575151737234,100000.0,21000000.0
0.89,0.005216140980310381,3.737450190006698,-1.0,-0.03206575151737234,100000.0,21000000.0
0.9,0.005207645682395746,3.7373559856816576,-1.0,-0.03206575151737234,100000.0,21000000.0
0.91,0.005200022359275481,3.7372714175661104,-1.0,-0.03206575151737234,100000.0,21000000.0
0.92,0.005193181457073585,3.7371955024375705,-1.0,-0.03206575151737234,100000.0,21000000.0
0.93,0.005187042629540101,3.7371273569140344,-1.0,-0.03206575151737234,100000.0,21000000.0
0.94,0.005181533789365149,3.737066187409933,-1.0,-0.03206575151737234,100000.0,21000000.0
0.95,0.005176590257624887,3.7370112810840395,-1.0,-0.03206575151737234,100000.0,21000000.0
0.96,0.00517215400113373,3.736961997685025,-1.0,-0.03206575151737234,100000.0,21000000.0
0.97,0.005168172948557287,3.736917762208587,-1.0,-0.03206575151737234,100000.0,21000000.0
0.98,0.005164600377103434,3.736878058287741,-1.0,-0.03206575151737234,100000.0,21000000.0
0.99,0.005161394362468647,3.736842422244951,-1.0,-0.03206575151737234,100000.0,21000000.0
1.0,0.00515851728548395,3.7368104377413704,-1.0,-0.03206575151737234,100000.0,21000000.0
1.01,0.005901199384506942,3.83151817626131,-1.0,-0.024674186103385315,100000.0,19347841.353654925
1.02,0.006930315599042798,3.8992190954454955,-1.0,-0.024674186103385315,100000.0,18920552.01030789
1.03,0.007210057542081437,4.255448469587342,-1.0,-0.024674186103385315,100000.0,17457910.63202683
1.04,0.009534422951325321,4.39192954802087,-1.0,-0.024674186103385315,100000.0,17933346.820562232
1.05,0.011261356409766284,4.483112861576088,-1.0,-0.024674186103385315,100000.0,16956474.38073404
1.06,0.013242651872674108,4.504736896612716,-1.0,-0.024674186103385315,100000.0,16775234.5584164
1.07,0.015240736337177159,4.498038043982848,-1.0,-0.024674186103385315,100000.0,16773106.729056146
1.08,0.017200375772957053,4.498735356587561,-1.0,-0.024674186103385315,100000.0,16840393.08255962
1.09,0.019124300239617954,4.499233956491169,-1.0,-0.024674186103385315,100000.0,16906054.35631099
1.1,0.021013622528063554,4.499733244594039,-1.0,-0.024674186103385315,100000.0,16971915.463241696
1.11,0.02286944328471003,4.500229353745205,-1.0,-0.024674186103385315,100000.0,17037905.010596756
1.12,0.024692812711440672,4.500723558999532,-1.0,-0.024674186103385315,100000.0,17104003.374554
1.13,0.02648473475246548,4.501216855234834,-1.0,-0.024674186103385315,100000.0,17170191.59734346
1.14,0.028246169914703315,4.501710116456348,-1.0,-0.024674186103385315,100000.0,17236452.533017855
1.15,0.029978037891055923,4.502204106922041,-1.0,-0.024674186103385315,100000.0,17302770.64800404
1.16,0.03168121997880943,4.502699494225813,-1.0,-0.024674186103385315,100000.0,17369131.87565144
1.17,0.03335656131347366,4.5031968606728245,-1.0,-0.024674186103385315,100000.0,17435523.485762738
1.18,0.0350048729353607,4.50369671326582,-1.0,-0.024674186103385315,100000.0,17501933.968082294
1.19,0.036626933704303345,4.504199492484357,-1.0,-0.024674186103385315,100000.0,17568352.92801196
1.2,0.03822349207623736,4.504705580014971,-1.0,-0.024674186103385315,100000.0,17634770.99308568
1.21,0.0397952677539065,4.50521530556771,-1.0,-0.024674186103385315,100000.0,17701179.728933375
1.22,0.04134295322266379,4.50572895289551,-1.0,-0.024674186103385315,100000.0,17767571.563634187
1.23,0.04286721518121317,4.506246765116694,-1.0,-0.024674186103385315,183232.3028922975,17833939.719503216
1.24,0.04438006764495816,4.505213838943913,-1.0,-0.024674186103385315,312213.927431928,17885923.919398706
1.25,0.0458880292305865,4.503375134463676,-1.0,-0.024674186103385315,448792.2980559431,17930816.530517295
1.26,0.0473924769966921,4.501428481847239,-1.0,-0.024674186103385315,584606.5257293861,17975302.509321112
1.27,0.04889373413694279,4.499512937497574,-1.0,-0.024674186103385315,718053.0396443382,18020717.51591777
1.28,0.05039190292195972,4.497654618177676,-1.0,-0.024674186103385315,848882.4016302191,18067314.204304323
1.29,0.05188703414037167,4.4958571067643405,-1.0,-0.024674186103385315,977110.9899138752,18115128.828306135
1.3,0.05337916154926368,4.494119598603456,-1.0,-0.024674186103385315,1102804.131962929,18164155.492103416
1.31,0.054868309096125424,4.4924405028503545,-1.0,-0.024674186103385315,1226033.5042558592,18214380.783842996
1.32,0.056354492694038034,4.490818146632018,-1.0,-0.024674186103385315,1346869.0104854815,18265790.54795311
1.33,0.057837720908838736,4.489250908329288,-1.0,-0.024674186103385315,1465377.39953899,18318371.15811971
1.34,0.05931799542252966,4.487737239760353,-1.0,-0.024674186103385315,1581622.1764390692,18372109.71924963
1.35,0.06079531144351446,4.486275667192645,-1.0,-0.024674186103385315,1695663.7484705374,18426994.06622601
1.36,0.06226965809783582,4.484864788573553,-1.0,-0.024674186103385315,1807559.6040285006,18483012.727561012
