time,cruise_speed,sea_state,K_T,RPM,Thrust,cavitation_margin,resistance_margin,shaft_torsional_stress,thermal_margin,SFOC
0.0000,0.0000,2.0,0.180009,0.015236,0.000015,0.583293,0.333386,0.450066,0.366633,199.998672
0.1000,0.0300,2.0,0.180000,0.000000,0.000000,0.583333,0.333333,0.446295,0.366667,200.000000
0.2001,0.0600,2.0,0.180029,0.046707,0.000143,0.583211,0.333496,0.442886,0.366565,199.995928
0.3001,0.0900,2.0,0.180040,0.065321,0.000279,0.583162,0.333561,0.439443,0.366524,199.994305
0.4001,0.1200,2.0,0.180000,0.000000,0.000000,0.583333,0.333333,0.435721,0.366667,200.000000
0.5002,0.1501,2.0,0.180000,0.000000,0.000000,0.583333,0.333333,0.432369,0.366667,200.000000
0.6002,0.1801,2.0,0.180042,0.069625,0.000317,0.583151,0.333576,0.429403,0.366515,199.993930
0.7002,0.2101,2.0,0.180042,0.068151,0.000304,0.583155,0.333571,0.426208,0.366518,199.994058
0.8003,0.2401,2.0,0.180065,0.106668,0.000745,0.583054,0.333705,0.423266,0.366434,199.990700
0.9003,0.2701,2.0,0.180056,0.091181,0.000544,0.583095,0.333651,0.420166,0.366468,199.992050
1.0003,0.3001,2.0,0.180126,0.206873,0.002803,0.582792,0.334055,0.417712,0.366216,199.981964
1.1004,0.3301,2.0,0.180143,0.233574,0.003574,0.582722,0.334148,0.414944,0.366158,199.979636
1.2004,0.3601,2.0,0.180142,0.232444,0.003539,0.582725,0.334144,0.412125,0.366160,199.979735
1.3004,0.3901,2.0,0.180197,0.322606,0.006820,0.582490,0.334458,0.409774,0.365964,199.971874
1.4005,0.4201,2.0,0.180201,0.329332,0.007107,0.582472,0.334482,0.407126,0.365949,199.971288
1.5005,0.4502,2.0,0.180186,0.305281,0.006106,0.582535,0.334398,0.404411,0.366001,199.973384
1.6005,0.4802,2.0,0.180251,0.411519,0.011100,0.582257,0.334768,0.402328,0.365770,199.964122
1.7006,0.5102,2.0,0.180240,0.392486,0.010096,0.582307,0.334702,0.399762,0.365811,199.965781
1.8006,0.5402,2.0,0.180326,0.534184,0.018711,0.581936,0.335196,0.397958,0.365502,199.953428
1.9006,0.5702,2.0,0.180330,0.540048,0.019125,0.581921,0.335217,0.395622,0.365490,199.952916
2.0007,0.6002,2.0,0.180359,0.588005,0.022676,0.581795,0.335384,0.393528,0.365385,199.948735
2.1007,0.6302,2.0,0.180379,0.620295,0.025238,0.581711,0.335497,0.391422,0.365315,199.945920
2.2007,0.6602,2.0,0.180473,0.774923,0.039409,0.581307,0.336036,0.389905,0.364978,199.932439
2.3008,0.6902,2.0,0.180469,0.767854,0.038693,0.581325,0.336011,0.387737,0.364993,199.933055
2.4008,0.7202,2.0,0.180499,0.818251,0.043946,0.581193,0.336187,0.385872,0.364883,199.928662
