Category,Method,Simple_Decision_Acc(%),Simple_Exec_Succ(%),Simple_Exec_Time(s),Simple_MAE,Simple_RMSE,Simple_NRMSE,Complex_Decision_Acc(%),Complex_Exec_Succ(%),Complex_Exec_Time(s),Complex_MAE,Complex_RMSE,Complex_NRMSE,Overall_Decision_Acc(%),Overall_Exec_Succ(%),Overall_Exec_Time(s),Overall_MAE,Overall_RMSE,Overall_NRMSE
Baselines,B1: Rule Pipeline,28.04,94.39,1.9061,656.1598,3130.8443,0.5819,15.91,84.09,11.1586,7.8283,12.5925,0.8242,24.50,91.39,4.6022,482.5733,2293.1361,0.6483
Baselines,B2: Semantic-Only,31.78,92.52,28.2397,1196.9065,5994.7718,0.5175,4.55,52.27,34.0766,11.6603,17.2788,0.9856,23.84,80.79,29.9405,878.8843,4387.9942,0.6435
Baselines,B3: Graph-Aware,40.19,88.79,3.0806,655.6476,3130.2585,0.4672,25.00,93.18,7.5928,6.2382,9.9745,0.7734,35.76,90.07,4.3954,481.7822,2292.0060,0.5511
Requirement Decomposition,Top-1 LLM Decomposition,57.01,85.05,27.8975,111.4744,262.2852,0.3392,59.09,75.00,38.2707,4.1463,6.7983,0.5515,57.62,82.12,30.9202,83.1629,194.6022,0.3994
Requirement Decomposition,Rule Template Decomposition,57.01,87.85,6.7615,109.6470,260.5181,0.3048,56.82,77.27,16.3891,4.2596,6.9216,0.5778,56.95,84.77,9.5669,81.8567,193.3427,0.3812
Requirement Decomposition,Heuristic Neighborhood,57.01,87.85,6.7521,109.6470,260.5181,0.3048,65.91,95.45,11.1107,2.0477,3.3907,0.4307,59.60,90.07,8.0222,81.0429,192.0305,0.3426
Simulation Units Matching,Semantic Retrieval Only,32.71,86.92,7.8148,1198.0942,5996.2976,0.5856,9.09,75.00,12.4991,12.1701,17.7676,1.0134,25.83,83.44,9.1798,879.8861,4389.2376,0.7074
Simulation Units Matching,Graph Match Only,33.64,96.26,5.6481,655.7956,3130.3976,0.5708,22.73,90.91,7.4402,7.8020,12.5662,0.7906,30.46,94.70,6.1703,482.3001,2292.8027,0.6314
Simulation Units Matching,Greedy Hybrid,38.32,93.46,5.9809,655.7138,3130.3539,0.4841,22.73,81.82,10.3024,6.7010,10.5427,0.7423,33.77,90.07,7.2401,481.9518,2292.2405,0.5553
Sim. Program Construction,Static Rule Scheduler,68.22,88.79,11.7601,106.2122,257.0880,0.1748,63.64,72.73,20.4151,4.4609,7.5060,0.4887,66.89,84.11,14.2821,79.3972,190.9882,0.2628
Sim. Program Construction,Greedy Multirate,68.22,88.79,10.4573,106.2122,257.0880,0.1748,72.73,86.36,18.7889,4.3562,7.3835,0.4749,69.54,88.08,12.8850,79.3698,190.9561,0.2592
Sim. Program Construction,LLM-Generated Script,68.22,88.79,26.2574,106.2122,257.0880,0.1748,72.73,90.91,36.3144,3.6794,6.2041,0.4686,69.54,89.40,29.1880,79.1924,190.6470,0.2575
Ours,COMPASS,76.64,94.39,5.0149,105.4704,256.3433,0.0911,79.55,97.73,4.0206,1.5077,2.7688,0.3033,77.48,95.36,4.7252,78.0810,189.2024,0.1530
