time,stage_id,level,y,_output
0.0,stage1,0.0,0,0
0.01,stage1,0.00994569747707125,0,0
0.02,stage1,0.019783575534989592,1,0
0.03,stage1,0.029514803023619328,2,0
0.04,stage1,0.03914053612154517,3,0
0.05,stage1,0.04866191847343918,4,0
0.06,stage1,0.05808008132593854,5,0
0.07,stage1,0.06739614366205027,6,0
0.08,stage1,0.07661121233409897,7,0
0.09,stage1,0.0857263821952332,8,0
0.1,stage1,0.10366134568054694,9,0
0.11,stage1,0.11248327017883493,10,0
0.12,stage1,0.12120955786759709,11,0
0.13,stage1,0.1298412455273384,12,0
0.14,stage1,0.13837935869902307,13,0
0.15,stage1,0.13837935869902307,14,0
0.16,stage1,0.14682491180592047,14,0
0.17,stage1,0.1551789082741296,15,0
0.18,stage1,0.1634423406517977,16,0
0.19,stage1,0.17161619072704568,16,0
0.2,stage1,0.1797014296446159,17,0
0.21,stage1,0.18769901802125477,18,0
0.22,stage1,0.19560990605984482,19,0
0.23,stage1,0.20343503366229948,20,0
0.24,stage1,0.21117533054123383,20,0
0.25,stage1,0.21883171633042492,21,0
0.26,stage1,0.22640510069407452,22,0
0.27,stage1,0.23389638343488744,23,0
0.28,stage1,0.24130645460097805,23,0
0.29,stage1,0.248636194591618,24,0
0.3,stage1,0.2558864742618375,25,0
0.31,stage1,0.2630581550258927,26,0
0.32,stage1,0.2701520889596112,26,0
0.33,stage1,0.27716911890162815,27,0
0.34,stage1,0.28411007855352505,28,0
0.35,stage1,0.2909757925788828,28,0
0.36,stage1,0.29776707670126085,29,0
0.37,stage1,0.30448473780111424,30,0
0.38,stage1,0.31112957401166025,30,0
0.39,stage1,0.3177023748137054,31,0
0.4,stage1,0.3242039211294444,32,0
0.41,stage1,0.3306349854152429,32,0
0.42,stage1,0.3369963317534134,33,0
0.43,stage1,0.34328871594299726,34,0
0.44,stage1,0.3495128855895617,34,0
0.45,stage1,0.3556695801940239,35,0
0.46,stage1,0.36175953124051186,36,0
0.47,stage1,0.367783462283273,36,0
0.48,stage1,0.37374208903264045,37,0
0.49,stage1,0.37963611944006737,37,0
0.5,stage1,0.38546625378223964,38,0
0.51,stage1,0.3912331847442763,39,0
0.52,stage1,0.39693759750202867,39,0
0.53,stage1,0.40258016980348654,40,0
0.54,stage1,0.40816157204930237,40,0
0.55,stage1,0.4136824673724423,41,0
0.56,stage1,0.41914351171697395,41,0
0.57,stage1,0.4245453539159996,42,0
0.58,stage1,0.4298886357687452,42,0
0.59,stage1,0.43517399211681285,43,0
0.6,stage1,0.4404020509196074,44,0
0.61,stage1,0.44557343332894495,44,0
0.62,stage1,0.45068875376285267,45,0
0.63,stage1,0.4557486199785684,45,0
0.64,stage1,0.46075363314474915,46,0
0.65,stage1,0.46570438791289653,46,0
0.66,stage1,0.47060147248800815,47,0
0.67,stage1,0.4754454686984627,47,0
0.68,stage1,0.48023695206514794,48,0
0.69,stage1,0.4849764918698388,48,0
0.7,stage1,0.48966465122283476,48,0
0.71,stage1,0.49430198712986306,49,0
0.72,stage1,0.4988890505582578,49,0
0.73,stage1,0.5034263865024204,50,0
0.74,stage1,0.5079145340485718,50,0
0.75,stage1,0.5123540264388013,51,0
0.76,stage1,0.5167453911344221,51,0
0.77,stage1,0.5210891498786392,52,0
0.78,stage1,0.5253858187585383,52,0
0.79,stage1,0.5296359082664033,53,0
0.8,stage1,0.5338399233603679,53,0
0.81,stage1,0.5379983635244108,53,0
0.82,stage1,0.5421117228276993,54,0
0.83,stage1,0.5461804899832906,54,0
0.84,stage1,0.5502051484061968,55,0
0.85,stage1,0.5541861762708192,55,0
0.86,stage1,0.5581240465677614,55,0
0.87,stage1,0.5620192271600251,56,0
0.88,stage1,0.5658721808385986,56,0
0.89,stage1,0.5696833653774405,57,0
0.9,stage1,0.573453233587869,57,0
0.91,stage1,0.5771822333723609,57,0
0.92,stage1,0.5808708077777667,58,0
0.93,stage1,0.5845193950479506,58,0
0.94,stage1,0.5881284286758578,58,0
0.95,stage1,0.5916983374550189,59,0
0.96,stage1,0.5952295455304952,59,0
0.97,stage1,0.5987224724492721,60,0
0.98,stage1,0.6021775332101053,60,0
0.99,stage1,0.605595138312828,60,0
1.0,stage1,0.6089756938071227,61,0
1.01,stage1,0.6123196013407642,61,0
1.02,stage1,0.6156272582073399,61,0
1.03,stage1,0.6188990573934529,62,0
1.04,stage1,0.6221353876254131,62,0
1.05,stage1,0.6253366334154222,62,0
1.06,stage1,0.6285031751072583,63,0
1.07,stage1,0.6316353889214643,63,0
1.08,stage1,0.6347336470000482,63,0
1.09,stage1,0.6377983174506965,63,0
1.1,stage1,0.6408297643905105,64,0
1.11,stage1,0.6438283479892672,64,0
1.12,stage1,0.6467944245122109,64,0
1.13,stage1,0.6497283463623823,65,0
1.14,stage1,0.6526304621224878,65,0
1.15,stage1,0.6555011165963142,65,0
1.16,stage1,0.6583406508496966,66,0
1.17,stage1,0.6611494022510398,66,0
1.18,stage1,0.6639277045114015,66,0
1.19,stage1,0.6666758877241414,66,0
1.2,stage1,0.6693942784041399,67,0
1.21,stage1,0.6720831995265911,67,0
1.22,stage1,0.6747429705653766,67,0
1.23,stage1,0.6773739075310221,67,0
1.24,stage1,0.6799763230082433,68,0
1.25,stage1,0.6825505261930842,68,0
1.26,stage1,0.6850968229296533,68,0
1.27,stage1,0.6876155157464612,69,0
1.28,stage1,0.6901069038923638,69,0
1.29,stage1,0.6925712833721176,69,0
