time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
0.0,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,26.959587986848234,0.1,30.0
0.1,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,35.0,0.09333333333333334,30.001418551230387
0.2,stage1,35.0,0,0.8,30.00000001555429,381.184,0.0,0.0,0.0,0,35.0,0.08711111111111111,30.002797895625353
0.3,stage1,35.0,0,0.8,30.0000000462328,381.184,0.0,0.0,0.0,0,35.0,0.08130370370370371,30.004139637948846
0.4,stage1,35.0,0,0.8,30.000000091623058,381.184,0.0,0.0,0.0,0,35.0,0.07588345679012345,30.00544531663056
0.5,stage1,35.0,0,0.8,30.000000151329473,381.184,0.0,0.0,0.0,0,35.0,0.0708245596707819,30.00671640655107
0.6,stage1,35.0,0,0.8,30.000000224972624,381.184,0.0,0.0,0.0,0,35.0,0.06610292235939644,30.00795432170663
0.7,stage1,35.0,0,0.8,30.000000312188597,381.184,0.0,0.0,0.0,0,35.0,0.06169606086877001,30.00916041775909
0.8,stage1,35.0,0,0.8,30.00000041262835,381.184,0.0,0.0,0.0,0,35.0,0.05758299014418534,30.01033599447613
0.9,stage1,35.0,0,0.8,30.0000005259571,381.184,0.0,0.0,0.0,0,35.0,0.05374412413457298,30.01148229806676
1.0,stage1,35.0,0,0.8,30.00000065185372,381.184,0.0,0.0,0.0,0,35.0,0.05016118252560145,30.01260052341679
1.1,stage1,35.0,0,0.8,30.00000079001021,381.184,0.0,0.0,0.0,0,35.0,0.04681710369056135,30.01369181622874
1.2,stage1,35.0,0,0.8,30.00000094013111,381.184,0.0,0.0,0.0,0,35.0,0.04369596344452393,30.01475727507044
1.3,stage1,35.0,0,0.8,30.000001101933027,381.184,0.0,0.0,0.0,0,35.0,0.040782899214889,30.01579795333642
1.4,stage1,35.0,0,0.8,30.00000127514412,381.184,0.0,0.0,0.0,0,35.0,0.03806403926722974,30.016814861125898
1.5,stage1,35.0,0,0.8,30.000001459503615,381.184,0.0,0.0,0.0,0,35.0,0.03552643664941442,30.01780896704109
1.6,stage1,35.0,0,0.8,30.000001654761373,381.184,0.0,0.0,0.0,0,35.0,0.03315800753945346,30.018781199909334
1.7,stage1,35.0,0,0.8,30.00000186067744,381.184,0.0,0.0,0.0,0,35.0,0.030947473703489894,30.019732450432375
1.8,stage1,35.0,0,0.8,30.000002077021627,381.184,0.0,0.0,0.0,0,35.0,0.0288843087899239,30.020663572765997
1.9,stage1,35.0,0,0.8,30.000002303573115,381.184,0.0,0.0,0.0,0,35.0,0.026958688203928976,30.021575386033046
2.0,stage1,35.0,0,0.8,30.00000254012007,381.184,0.0,0.0,0.0,0,35.0,0.025161442323667044,30.022468675772743
2.1,stage1,35.0,0,0.8,30.000002786459277,381.184,0.0,0.0,0.0,0,35.0,0.023484012835422573,30.023344195329063
2.2,stage1,35.0,0,0.8,30.00000304239578,381.184,0.0,0.0,0.0,0,35.0,0.021918411979727735,30.024202667180795
2.3,stage1,35.0,0,0.8,30.000003307742542,381.184,0.0,0.0,0.0,0,35.0,0.020457184514412557,30.02504478421583
2.4,stage1,35.0,0,0.8,30.000003582320137,381.184,0.0,0.0,0.0,0,35.0,0.01909337221345172,30.02587121095206
2.5,stage1,35.0,0,0.8,30.000003865956415,381.184,0.0,0.0,0.0,0,35.0,0.017820480732554937,30.026682584707228
2.6,stage1,35.0,0,0.8,30.000004158486227,381.184,0.0,0.0,0.0,0,35.0,0.01663244868371794,30.027479516719836
2.7,stage1,35.0,0,0.8,30.00000445975112,381.184,0.0,0.0,0.0,0,35.0,0.015523618771470077,30.028262593223307
