time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
0.0,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028021684349001917,0.05538363291357484,0.0
0.001,stage1,0.0,True,False,0.0,0.0,0.0,-2.0857813833372536e-05,-8.176263022682037e-07,-0.013926413279258311,-6.982077118327338e-07,1.8870478698181993e-06,-0.001042890691668627,0.05816517579347545,0.05816599336099779
0.002,stage1,0.0,True,False,0.0,-6.982077118327339e-10,1.887047869818199e-09,5.700539026844332e-05,2.2346112985229788e-06,-0.013647885013673144,-1.993536282415528e-06,5.3879358984203444e-06,0.0038723023912574208,0.015150060492582995,0.015147825881284473
0.003,stage1,0.0,True,False,0.0,-2.6917439942482617e-09,7.274983768238543e-09,0.00010693938230363231,4.192023786302388e-06,-0.0212677204347053,-4.191376408310134e-06,1.132809437905334e-05,0.002553704992027893,0.03217874437237714,0.0321745523138119
0.004,stage1,0.0,True,False,0.0,-6.883120402558395e-09,1.8603078147291886e-08,1.6444837800752758e-05,6.44637641789509e-07,-0.03599174132680455,-7.913367066625326e-06,2.1387721476096467e-05,-0.0044177878428403455,0.0630159127484664,0.06301526811292082
0.005,stage1,0.0,True,False,0.0,-1.4796487469183721e-08,3.999079962338835e-08,3.4957632699467763e-06,1.3703392018191455e-07,-0.051229799438687246,-1.3726604381853263e-05,3.7099666912379066e-05,-0.0006310088887395463,0.06647091043114278,0.06647077339816802
0.006,stage1,0.0,True,False,0.0,-2.8523091851036987e-08,7.709046653576742e-08,-5.757619962615449e-06,-2.2569870253452482e-07,-0.07080299798556439,-2.2340129120520583e-05,6.038052379997803e-05,-0.00045917339835816455,0.08586745692580834,0.0858676826261847
0.007,stage1,0.0,True,False,0.0,-5.086322097155757e-08,1.3747099033574545e-07,-3.30816034241997e-05,-1.2967988542286274e-06,-0.08095556029286319,-3.3895836961130535e-05,9.161421055156352e-05,-0.0013719567930418279,0.04842877902337267,0.04843007586194765
0.008,stage1,0.0,True,False,0.0,-8.475905793268811e-08,2.29085200887309e-07,3.3616358671936164e-05,1.317761259939899e-06,-0.07933644908700592,-4.7919220184614797e-05,0.0001295188911296698,0.003301816501382594,0.023729008014362524,0.023727690253102583
0.009,stage1,0.0,True,False,0.0,-1.3267827811730286e-07,3.586040920169787e-07,5.967066789541043e-06,2.3390901815001006e-07,-0.08748222224204891,-6.447559853638634e-05,0.0001742719335015396,-0.0013488482354478213,0.04052586877000424,0.040525634818100634
0.01,stage1,0.0,True,False,0.0,-1.9715387665368928e-07,5.328760255185184e-07,5.400289663983072e-05,2.1169135482813653e-06,-0.09584637123999527,-8.362558621678426e-05,0.00022603816481651088,0.0024077585593040222,0.04180027964259193,0.04179816272938227
0.011,stage1,0.0,True,False,0.0,-2.807794628704735e-07,7.589141903350291e-07,6.749847698371752e-05,2.645940297761728e-06,-0.10430268521251995,-0.00010541915531812338,0.0002849538313439335,0.0007287819138341717,0.04279634806683964,0.0427937021262798
0.012,stage1,0.0,True,False,0.0,-3.8619861818859693e-07,1.0438680216789628e-06,2.8444573127481252e-05,1.115027266597266e-06,-0.11604286134839428,-0.00013005680024248708,0.00035156218235086263,-0.0018851967158280945,0.05744816257701217,0.057447047550824436
0.013,stage1,0.0,True,False,0.0,-5.16255418431084e-07,1.3954302040298252e-06,0.00011779181391216306,4.617439105356793e-06,-0.12254335462988322,-0.00015744327649029372,0.00042560736233217175,0.004495806612361575,0.0360069213942804,0.0360023039537705
