time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,theta_rad,x_m,force_cmd_N
0.0,stage1,0.0,0.0,0.0,0.12,0.0,0.0
0.01,stage1,0.0,0.0,0.0,0.12010260887017424,-0.00016996438623080926,-1.9377016623455183
0.02,stage1,0.0,0.0,0.0,0.12063434986957816,-0.0006739881208118474,-3.5848598499654094
0.03,stage1,0.0,0.0,0.0,0.12189235864262649,-0.001660370786381595,-5.074918305245497
0.04,stage1,0.0,0.0,0.0,0.12416497101228978,-0.003272451912890284,-6.517338191901446
0.05,stage1,0.0,0.0,0.0,0.1277494029629152,-0.00565790698931232,-8.006318858585793
0.06,stage1,0.0,0.0,0.0,0.13292375457103953,-0.008954988517468591,-9.405055086868634
0.07,stage1,0.0,0.0,0.0,0.13990838767139438,-0.01327351217611177,-10.524044069494908
0.08,stage1,0.0,0.0,0.0,0.1488756663056712,-0.01870032328941439,-11.419235255595925
0.09,stage1,0.0,0.0,0.0,0.15995764415975428,-0.025303644397719788,-12.13538820447674
0.1,stage1,0.0,0.0,0.0,0.17325209809089143,-0.03313652375034683,-12.708310563581392
0.11,stage1,0.0,0.0,0.0,0.1888272299929399,-0.042239561411145744,-13.166648450865113
0.12,stage1,0.0,0.0,0.0,0.20672530166390912,-0.05264305617224976,-13.53331876069209
0.13,stage1,0.0,0.0,0.0,0.226965423961336,-0.06436869039623916,-13.826655008553672
0.14,stage1,0.0,0.0,0.0,0.24954568862383134,-0.07743084954687361,-14.061324006842938
0.15,stage1,0.0,0.0,0.0,0.27444480580184627,-0.09183765717538633,-14.24905920547435
0.16,stage1,0.0,0.0,0.0,0.3016233901806385,-0.10759179340195547,-14.39924736437948
0.17,stage1,0.0,0.0,0.0,0.33102502151272223,-0.12469115454601137,-14.519397891503584
0.18,stage1,0.0,0.0,0.0,0.36257718957672735,-0.14312940273067948,-14.615518313202866
0.19,stage1,0.0,0.0,0.0,0.39619221750419364,-0.1628964463650722,-14.692414650562293
0.2,stage1,0.0,0.0,0.0,0.43176823992314617,-0.18397888488956213,-14.753931720449835
0.21,stage1,0.0,0.0,0.0,0.4691902928552977,-0.2063604437224631,-14.803145376359868
0.22,stage1,0.0,0.0,0.0,0.5083315508332186,-0.230022417837343,-14.842516301087894
0.23,stage1,0.0,0.0,0.0,0.549054724044925,-0.25494413489917617,-14.874013040870315
0.24,stage1,0.0,0.0,0.0,0.5912136058690126,-0.28110344165062295,-14.899210432696252
0.25,stage1,0.0,0.0,0.0,0.6346547407520775,-0.30847721065451467,-14.919368346157002
0.26,stage1,0.0,0.0,0.0,0.6792191659014674,-0.3370418590016451,-14.935494676925602
0.27,stage1,0.0,0.0,0.0,0.724744169317885,-0.3667738665726489,-14.948395741540482
0.28,stage1,0.0,0.0,0.0,0.7710650022293506,-0.39765027915022433,-14.958716593232385
0.29,stage1,0.0,0.0,0.0,0.8180164861168833,-0.42964918116791767,-14.966973274585907
0.3,stage1,0.0,0.0,0.0,0.8654344624803282,-0.4627501239975205,-14.973578619668725
0.31,stage1,0.0,0.0,0.0,0.9131570458143357,-0.4969344980823821,-14.97886289573498
0.32,stage1,0.0,0.0,0.0,0.9610256550788485,-0.5321858404687232,-14.983090316587985
0.33,stage1,0.0,0.0,0.0,1.0088858143245611,-0.5684900728898576,-14.986472253270389
0.34,stage1,0.0,0.0,0.0,1.056587727385787,-0.6058356690823342,-14.989177802616311
0.35,stage1,0.0,0.0,0.0,1.1039866434452088,-0.6442137531211859,-14.991342242093049
