time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.0,stage1,True,0.0,0.05,0.05,0.0,0.0,10000000.0,5000000.0
0.01,stage1,True,0.0,0.05,0.10833333333333331,-1.0,-0.25,100000.0,21000000.0
0.02,stage1,True,0.0,0.05,-0.12538888888888886,1.0,0.0,100000.0,21000000.0
0.03,stage1,True,0.0,0.05,0.08696759259259246,-1.0,-0.24999999999999997,21000000.0,100000.0
0.04,stage1,True,0.0,0.05,0.34714004629629613,-1.0,-0.5,100000.0,21000000.0
0.05,stage1,True,0.0,0.05,-0.4359727044753089,1.0,-0.24999999999999994,100000.0,21000000.0
0.06,stage1,True,0.0,0.05,0.7060663660622414,-1.0,-0.49999999999999983,21000000.0,100000.0
0.07,stage1,True,0.0,0.05,-0.953490213611328,1.0,-0.2499999999999996,100000.0,21000000.0
0.08,stage1,True,0.0,0.05,1.7084109104960579,-1.0,-0.4999999999999995,21000000.0,100000.0
0.09,stage1,True,0.0,0.05,-2.7616164500779075,1.0,-0.2499999999999996,100000.0,21000000.0
0.1,stage1,True,0.0,0.05,5.0216814871491,-1.0,-0.49999999999999983,21000000.0,100000.0
0.11,stage1,True,0.0,0.05,-8.811511111019634,1.0,-0.24999999999999994,100000.0,21000000.0
0.12,stage1,True,0.0,0.05,16.077318522639615,-1.0,-0.49999999999999983,21000000.0,100000.0
0.13,stage1,True,0.0,0.05,-29.011084573670956,1.0,-0.2499999999999996,100000.0,21000000.0
0.14,stage1,True,0.0,0.05,52.985108704680385,-1.0,-0.49999999999999983,21000000.0,100000.0
0.15,stage1,True,0.0,0.05,-96.44680076188297,1.0,-0.25000000000000033,100000.0,21000000.0
0.16,stage1,True,0.0,0.05,176.19988260784538,-1.0,-0.5000000000000004,21000000.0,100000.0
0.17,stage1,True,0.0,0.05,-321.5778509325275,1.0,-0.2500000000000002,100000.0,21000000.0
0.18,stage1,True,0.0,0.05,587.5466174436267,-1.0,-0.49999999999999967,21000000.0,100000.0
0.19,stage1,True,0.0,0.05,-1073.1673462445385,1.0,-0.24999999999999944,100000.0,21000000.0
0.2,stage1,True,0.0,0.05,1960.8084535958221,-1.0,-0.49999999999999967,21000000.0,100000.0
