case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,False,ablation_stage1_heuristic_neighborhood,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001288
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,3.279691480100155,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001280
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,3.513680617790669,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001292
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,False,2.5500290668569505,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001523
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,True,True,False,2.1637851279228926,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001524
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.2006802232936025,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001535
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.2282055132091045,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001539
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,6.59604904288426,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001284
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.233864917885512,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.016912099905312,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001543
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,False,ablation_stage1_heuristic_neighborhood,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001563
