time,stage_id,y
0.0,stage1,0
0.001,stage1,0
0.002,stage1,-1
0.003,stage1,-1
0.004,stage1,-1
0.005,stage1,-1
0.006,stage1,-1
0.007,stage1,-1
0.008,stage1,-1
0.009,stage1,-1
0.01,stage1,-1
0.011,stage1,-1
0.012,stage1,-2
0.013,stage1,-2
0.014,stage1,-2
0.015,stage1,-2
0.016,stage1,-2
0.017,stage1,-2
0.018,stage1,-2
0.019,stage1,-2
0.02,stage1,-2
0.021,stage1,-2
0.022,stage1,-3
0.023,stage1,-3
0.024,stage1,-3
0.025,stage1,-3
0.026,stage1,-3
0.027,stage1,-3
0.028,stage1,-3
0.029,stage1,-3
0.03,stage1,-3
0.031,stage1,-3
0.032,stage1,-4
0.033,stage1,-4
0.034,stage1,-4
0.035,stage1,-4
0.036,stage1,-4
0.037,stage1,-4
0.038,stage1,-4
0.039,stage1,-4
0.04,stage1,-4
0.041,stage1,-4
0.042,stage1,-5
0.043,stage1,-5
0.044,stage1,-5
0.045,stage1,-5
0.046,stage1,-5
0.047,stage1,-5
0.048,stage1,-5
0.049,stage1,-5
0.05,stage1,-5
0.051,stage1,-5
0.052,stage1,-6
0.053,stage1,-6
0.054,stage1,-6
0.055,stage1,-6
0.056,stage1,-6
0.057,stage1,-6
0.058,stage1,-6
0.059,stage1,-6
0.06,stage1,-6
0.061,stage1,-6
0.062,stage1,-7
0.063,stage1,-7
0.064,stage1,-7
0.065,stage1,-7
0.066,stage1,-7
0.067,stage1,-7
0.068,stage1,-7
0.069,stage1,-7
0.07,stage1,-7
0.071,stage1,-7
0.072,stage1,-8
0.073,stage1,-8
0.074,stage1,-8
0.075,stage1,-8
0.076,stage1,-8
0.077,stage1,-8
0.078,stage1,-8
0.079,stage1,-8
0.08,stage1,-8
0.081,stage1,-8
0.082,stage1,-9
0.083,stage1,-9
0.084,stage1,-9
0.085,stage1,-9
0.086,stage1,-9
0.087,stage1,-9
0.088,stage1,-9
0.089,stage1,-9
0.09,stage1,-9
0.091,stage1,-9
0.092,stage1,-10
