time,stage_id,valve,level,y,_output
0.0,stage1,0,0.0,0,0
0.1,stage1,0,0.1099999999999999,11,0
0.2,stage1,0,0.19999999999999996,20,0
0.3,stage1,0,0.30000000000000004,30,0
0.4,stage1,0,0.40000000000000013,40,0
0.5,stage1,0,0.5000000000000002,50,0
0.6,stage1,0,0.6000000000000003,60,0
0.7,stage1,0,0.7000000000000004,70,0
0.8,stage1,0,0.8000000000000005,80,0
0.9,stage1,0,0.9000000000000006,90,0
1.0,stage1,0,1.0000000000000007,100,0
1.1,stage1,0,1.100000000000003,110,0
1.2,stage1,0,1.2000000000000053,120,0
1.3,stage1,0,1.3000000000000076,130,0
1.4,stage1,0,1.40000000000001,140,0
1.5,stage1,0,1.5000000000000122,150,0
1.6,stage1,0,1.6000000000000145,160,0
1.7,stage1,0,1.7000000000000168,170,0
1.8,stage1,0,1.8000000000000191,180,0
1.9,stage1,0,1.9000000000000214,190,0
2.0,stage1,0,2.0000000000000235,200,0
2.1,stage1,1,1.8809024115941018,188,0
2.2,stage1,1,1.7814051410735467,178,0
2.3,stage1,1,1.6921829121385599,169,0
2.4,stage1,1,1.6121746255345306,161,0
2.5,stage1,1,1.5404287612838536,154,0
2.6,stage1,1,1.476092062479739,148,0
2.7,stage1,1,1.4183993876999197,142,0
2.8,stage1,1,1.366664611357354,137,0
2.9,stage1,1,1.3202724637679069,132,0
3.0,stage1,1,1.2786712138908443,128,0
3.1,stage1,1,1.2413661077196545,124,0
3.2,stage1,1,1.207913484287515,121,0
3.3,stage1,1,1.1779154993104124,118,0
3.4,stage1,1,1.1510153937174417,115,0
3.5,stage1,1,1.126893250797998,113,0
3.6,stage1,1,1.105262191506614,111,0
3.7,stage1,1,1.0858649626770704,109,0
3.8,stage1,1,1.06847087757022,107,0
3.9,stage1,1,1.0528730723701527,105,0
4.0,stage1,1,1.038886046000859,104,0
4.1,stage1,1,1.0263434540050018,103,0
4.2,stage1,1,1.0150961302479005,102,0
4.3,stage1,1,1.005010312919327,101,0
4.4,stage1,1,0.9959660537353473,100,0
4.5,stage1,0,1.094156715404397,109,0
4.6,stage1,0,1.1941567154043993,119,0
4.7,stage1,0,1.2941567154044016,129,0
4.8,stage1,0,1.394156715404404,139,0
4.9,stage1,0,1.4941567154044062,149,0
5.0,stage1,0,1.5941567154044085,159,0
5.1,stage1,0,1.6941567154044108,169,0
5.2,stage1,0,1.7941567154044131,179,0
5.3,stage1,0,1.8941567154044154,189,0
5.4,stage1,0,1.9941567154044177,199,0
5.5,stage1,0,2.0941567154044156,209,0
5.6,stage1,1,1.976048269070996,198,0
5.7,stage1,1,1.8667253255731344,187,0
5.8,stage1,1,1.7686921168068914,177,0
5.9,stage1,1,1.6807827565801097,168,0
6.0,stage1,1,1.601951759280924,160,0
6.1,stage1,1,1.5312616061601092,153,0
6.2,stage1,1,1.4678715956382458,147,0
6.3,stage1,1,1.4110278450370226,141,0
6.4,stage1,1,1.3600543248275632,136,0
6.5,stage1,1,1.314344818768188,131,0
6.6,stage1,1,1.2733557143153966,127,0
6.7,stage1,1,1.2365995375660905,124,0
6.8,stage1,1,1.2036391558436195,120,0
6.9,stage1,1,1.1740825789803442,117,0
7.0,stage1,1,1.1475782974695785,115,0
7.1,stage1,1,1.123811102044631,112,0
7.2,stage1,1,1.1024983349681794,110,0
7.3,stage1,1,1.0833865284494235,108,0
7.4,stage1,1,1.0662483902104913,107,0
7.5,stage1,1,1.0508801003521535,105,0
7.6,stage1,1,1.0370988873710736,104,0
7.7,stage1,1,1.0247408545007566,102,0
7.8,stage1,1,1.0136590305253572,101,0
7.9,stage1,1,1.003721621885127,100,0
8.0,stage1,1,0.9948104452862079,99,0
8.1,stage1,0,1.0930032063106068,109,0
8.2,stage1,0,1.193003206310609,119,0
8.3,stage1,0,1.2930032063106114,129,0
8.4,stage1,0,1.3930032063106137,139,0
8.5,stage1,0,1.493003206310616,149,0
8.6,stage1,0,1.5930032063106183,159,0
8.7,stage1,0,1.6930032063106206,169,0
8.8,stage1,0,1.793003206310623,179,0
8.9,stage1,0,1.8930032063106252,189,0
9.0,stage1,0,1.9930032063106276,199,0
9.1,stage1,0,2.0930032063106254,209,0
9.2,stage1,1,1.9750120032441028,198,0
9.3,stage1,1,1.8657960744855326,187,0
9.4,stage1,1,1.7678588290911352,177,0
9.5,stage1,1,1.680035522138854,168,0
9.6,stage1,1,1.6012816914284398,160,0
9.7,stage1,1,1.5306607359349917,153,0
