case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001288
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.532748692203313,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001280
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.5651974761858582,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001292
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,False,2.843961247242987,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001523
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,False,1.4635344869457185,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001524
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.185804079286754,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001535
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,6.1085328119806945,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001284
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.608527551870793,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.322674314957112,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.9363365271128714,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001543
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001563
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.882171099074185,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001555
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.209671082906425,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001569
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.365663167089224,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001567
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.871610480826348,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001570
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,6.113210460636765,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001559
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.287896129768342,2.3500646587726526,3.967188212324491,0.09132014417432037,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001571
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.32065218873322,0.4084265383863449,0.7364114296620914,0.016797468250903048,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001575
