time,stage_id,asset_dtaas_three_tank__tank1.outPort,asset_dtaas_three_tank__tank1.leak
0.0,stage1,2,0
0.01,stage1,2,0
0.02,stage1,2,0
0.03,stage1,2,0
0.04,stage1,2,0
0.05,stage1,2,0
0.06,stage1,2,0
0.07,stage1,2,0
0.08,stage1,2,0
0.09,stage1,2,0
0.1,stage1,2,0
0.11,stage1,2,0
0.12,stage1,2,0
0.13,stage1,2,0
0.14,stage1,2,0
0.15,stage1,2,0
0.16,stage1,2,0
0.17,stage1,2,0
0.18,stage1,2,0
0.19,stage1,2,0
0.2,stage1,2,0
0.21,stage1,2,0
0.22,stage1,2,0
0.23,stage1,2,0
0.24,stage1,2,0
0.25,stage1,2,0
0.26,stage1,2,0
0.27,stage1,2,0
0.28,stage1,2,0
0.29,stage1,2,0
0.3,stage1,2,0
0.31,stage1,2,0
0.32,stage1,2,0
0.33,stage1,2,0
0.34,stage1,2,0
0.35,stage1,2,0
0.36,stage1,2,0
0.37,stage1,2,0
0.38,stage1,2,0
0.39,stage1,2,0
0.4,stage1,2,0
0.41,stage1,2,0
0.42,stage1,2,0
0.43,stage1,2,0
0.44,stage1,2,0
0.45,stage1,2,0
0.46,stage1,2,0
0.47,stage1,2,0
0.48,stage1,2,0
0.49,stage1,2,0
0.5,stage1,2,0
0.51,stage1,2,0
0.52,stage1,2,0
0.53,stage1,2,0
0.54,stage1,2,0
0.55,stage1,2,0
0.56,stage1,2,0
0.57,stage1,2,0
0.58,stage1,2,0
0.59,stage1,2,0
0.6,stage1,2,0
0.61,stage1,2,0
0.62,stage1,2,0
0.63,stage1,2,0
0.64,stage1,2,0
0.65,stage1,2,0
0.66,stage1,2,0
0.67,stage1,2,0
0.68,stage1,2,0
0.69,stage1,2,0
0.7,stage1,2,0
0.71,stage1,2,0
0.72,stage1,2,0
0.73,stage1,2,0
0.74,stage1,2,0
0.75,stage1,2,0
0.76,stage1,2,0
0.77,stage1,2,0
0.78,stage1,2,0
0.79,stage1,2,0
0.8,stage1,2,0
0.81,stage1,2,0
0.82,stage1,2,0
0.83,stage1,2,0
0.84,stage1,2,0
0.85,stage1,2,0
0.86,stage1,2,0
0.87,stage1,2,0
0.88,stage1,2,0
0.89,stage1,2,0
0.9,stage1,2,0
0.91,stage1,2,0
0.92,stage1,2,0
0.93,stage1,2,0
0.94,stage1,2,0
0.95,stage1,2,0
0.96,stage1,2,0
0.97,stage1,2,0
0.98,stage1,2,0
0.99,stage1,2,0
1.0,stage1,2,0
1.01,stage1,2,0
1.02,stage1,2,0
1.03,stage1,2,0
1.04,stage1,2,0
1.05,stage1,2,0
1.06,stage1,2,0
1.07,stage1,2,0
1.08,stage1,2,0
1.09,stage1,2,0
1.1,stage1,2,0
1.11,stage1,2,0
1.12,stage1,2,0
1.13,stage1,2,0
1.14,stage1,2,0
1.15,stage1,2,0
1.16,stage1,2,0
1.17,stage1,2,0
1.18,stage1,2,0
1.19,stage1,2,0
1.2,stage1,2,0
1.21,stage1,2,0
1.22,stage1,2,0
1.23,stage1,2,0
1.24,stage1,2,0
1.25,stage1,2,0
1.26,stage1,2,0
1.27,stage1,2,0
1.28,stage1,2,0
1.29,stage1,2,0
1.3,stage1,2,0
1.31,stage1,2,0
1.32,stage1,2,0
1.33,stage1,2,0
1.34,stage1,2,0
1.35,stage1,2,0
1.36,stage1,2,0
1.37,stage1,2,0
1.38,stage1,2,0
1.39,stage1,2,0
1.4,stage1,2,0
1.41,stage1,2,0
1.42,stage1,2,0
1.43,stage1,2,0
1.44,stage1,2,0
1.45,stage1,2,0
1.46,stage1,2,0
1.47,stage1,2,0
1.48,stage1,2,0
1.49,stage1,2,0
1.5,stage1,2,0
1.51,stage1,2,0
1.52,stage1,2,0
1.53,stage1,2,0
1.54,stage1,2,0
1.55,stage1,2,0
1.56,stage1,2,0
1.57,stage1,2,0
1.58,stage1,2,0
1.59,stage1,2,0
1.6,stage1,2,0
1.61,stage1,2,0
1.62,stage1,2,0
1.63,stage1,2,0
1.64,stage1,2,0
1.65,stage1,2,0
1.66,stage1,2,0
1.67,stage1,2,0
1.68,stage1,2,0
1.69,stage1,2,0
1.7,stage1,2,0
1.71,stage1,2,0
1.72,stage1,2,0
1.73,stage1,2,0
1.74,stage1,2,0
1.75,stage1,2,0
1.76,stage1,2,0
1.77,stage1,2,0
1.78,stage1,2,0
1.79,stage1,2,0
1.8,stage1,2,0
1.81,stage1,2,0
1.82,stage1,2,0
1.83,stage1,2,0
1.84,stage1,2,0
1.85,stage1,2,0
1.86,stage1,2,0
1.87,stage1,2,0
1.88,stage1,2,0
1.89,stage1,2,0
1.9,stage1,2,0
1.91,stage1,2,0
1.92,stage1,2,0
1.93,stage1,2,0
1.94,stage1,2,0
1.95,stage1,2,0
1.96,stage1,2,0
1.97,stage1,2,0
1.98,stage1,2,0
1.99,stage1,2,0
2.0,stage1,2,0
2.01,stage1,2,0
2.02,stage1,2,0
2.03,stage1,2,0
2.04,stage1,2,0
2.05,stage1,2,0
2.06,stage1,2,0
2.07,stage1,2,0
2.08,stage1,2,0
2.09,stage1,2,0
2.1,stage1,2,0
2.11,stage1,2,0
2.12,stage1,2,0
2.13,stage1,2,0
2.14,stage1,2,0
2.15,stage1,2,0
2.16,stage1,2,0
2.17,stage1,2,0
2.18,stage1,2,0
2.19,stage1,2,0
2.2,stage1,2,0
2.21,stage1,2,0
2.22,stage1,2,0
2.23,stage1,2,0
2.24,stage1,2,0
2.25,stage1,2,0
2.26,stage1,2,0
2.27,stage1,2,0
2.28,stage1,2,0
2.29,stage1,2,0
2.3,stage1,2,0
2.31,stage1,2,0
2.32,stage1,2,0
2.33,stage1,2,0
2.34,stage1,2,0
2.35,stage1,2,0
2.36,stage1,2,0
2.37,stage1,2,0
2.38,stage1,2,0
2.39,stage1,2,0
2.4,stage1,2,0
2.41,stage1,2,0
2.42,stage1,2,0
2.43,stage1,2,0
2.44,stage1,2,0
2.45,stage1,2,0
2.46,stage1,2,0
2.47,stage1,2,0
2.48,stage1,2,0
2.49,stage1,2,0
2.5,stage1,2,0
2.51,stage1,2,0
2.52,stage1,2,0
2.53,stage1,2,0
2.54,stage1,2,0
2.55,stage1,2,0
2.56,stage1,2,0
2.57,stage1,2,0
2.58,stage1,2,0
2.59,stage1,2,0
2.6,stage1,2,0
2.61,stage1,2,0
2.62,stage1,2,0
2.63,stage1,2,0
2.64,stage1,2,0
2.65,stage1,2,0
2.66,stage1,2,0
2.67,stage1,2,0
2.68,stage1,2,0
2.69,stage1,2,0
2.7,stage1,2,0
2.71,stage1,2,0
2.72,stage1,2,0
2.73,stage1,2,0
2.74,stage1,2,0
2.75,stage1,2,0
2.76,stage1,2,0
2.77,stage1,2,0
2.78,stage1,2,0
2.79,stage1,2,0
2.8,stage1,2,0
2.81,stage1,2,0
2.82,stage1,2,0
2.83,stage1,2,0
2.84,stage1,2,0
2.85,stage1,2,0
2.86,stage1,2,0
2.87,stage1,2,0
2.88,stage1,2,0
2.89,stage1,2,0
2.9,stage1,2,0
2.91,stage1,2,0
2.92,stage1,2,0
2.93,stage1,2,0
2.94,stage1,2,0
2.95,stage1,2,0
2.96,stage1,2,0
2.97,stage1,2,0
2.98,stage1,2,0
2.99,stage1,2,0
3.0,stage1,2,0
3.01,stage1,2,0
3.02,stage1,2,0
3.03,stage1,2,0
3.04,stage1,2,0
3.05,stage1,2,0
3.06,stage1,2,0
3.07,stage1,2,0
3.08,stage1,2,0
3.09,stage1,2,0
3.1,stage1,2,0
3.11,stage1,2,0
3.12,stage1,2,0
3.13,stage1,2,0
3.14,stage1,2,0
3.15,stage1,2,0
3.16,stage1,2,0
3.17,stage1,2,0
3.18,stage1,2,0
3.19,stage1,2,0
3.2,stage1,2,0
3.21,stage1,2,0
3.22,stage1,2,0
3.23,stage1,2,0
3.24,stage1,2,0
3.25,stage1,2,0
3.26,stage1,2,0
3.27,stage1,2,0
3.28,stage1,2,0
3.29,stage1,2,0
3.3,stage1,2,0
3.31,stage1,2,0
3.32,stage1,2,0
3.33,stage1,2,0
3.34,stage1,2,0
3.35,stage1,2,0
3.36,stage1,2,0
3.37,stage1,2,0
3.38,stage1,2,0
3.39,stage1,2,0
3.4,stage1,2,0
3.41,stage1,2,0
3.42,stage1,2,0
3.43,stage1,2,0
3.44,stage1,2,0
3.45,stage1,2,0
3.46,stage1,2,0
3.47,stage1,2,0
3.48,stage1,2,0
3.49,stage1,2,0
3.5,stage1,2,0
3.51,stage1,2,0
3.52,stage1,2,0
3.53,stage1,2,0
3.54,stage1,2,0
3.55,stage1,2,0
3.56,stage1,2,0
3.57,stage1,2,0
3.58,stage1,2,0
3.59,stage1,2,0
3.6,stage1,2,0
3.61,stage1,2,0
3.62,stage1,2,0
3.63,stage1,2,0
3.64,stage1,2,0
3.65,stage1,2,0
3.66,stage1,2,0
3.67,stage1,2,0
3.68,stage1,2,0
3.69,stage1,2,0
3.7,stage1,2,0
3.71,stage1,2,0
3.72,stage1,2,0
3.73,stage1,2,0
3.74,stage1,2,0
3.75,stage1,2,0
3.76,stage1,2,0
3.77,stage1,2,0
3.78,stage1,2,0
3.79,stage1,2,0
3.8,stage1,2,0
3.81,stage1,2,0
3.82,stage1,2,0
3.83,stage1,2,0
3.84,stage1,2,0
3.85,stage1,2,0
3.86,stage1,2,0
3.87,stage1,2,0
3.88,stage1,2,0
3.89,stage1,2,0
3.9,stage1,2,0
3.91,stage1,2,0
3.92,stage1,2,0
3.93,stage1,2,0
3.94,stage1,2,0
3.95,stage1,2,0
3.96,stage1,2,0
3.97,stage1,2,0
3.98,stage1,2,0
3.99,stage1,2,0
4.0,stage1,2,0
4.01,stage1,2,0
4.02,stage1,2,0
4.03,stage1,2,0
4.04,stage1,2,0
4.05,stage1,2,0
4.06,stage1,2,0
4.07,stage1,2,0
4.08,stage1,2,0
4.09,stage1,2,0
4.1,stage1,2,0
4.11,stage1,2,0
4.12,stage1,2,0
4.13,stage1,2,0
4.14,stage1,2,0
4.15,stage1,2,0
4.16,stage1,2,0
4.17,stage1,2,0
4.18,stage1,2,0
4.19,stage1,2,0
4.2,stage1,2,0
4.21,stage1,2,0
4.22,stage1,2,0
4.23,stage1,2,0
4.24,stage1,2,0
4.25,stage1,2,0
4.26,stage1,2,0
4.27,stage1,2,0
4.28,stage1,2,0
4.29,stage1,2,0
4.3,stage1,2,0
4.31,stage1,2,0
4.32,stage1,2,0
4.33,stage1,2,0
4.34,stage1,2,0
4.35,stage1,2,0
4.36,stage1,2,0
4.37,stage1,2,0
4.38,stage1,2,0
4.39,stage1,2,0
4.4,stage1,2,0
4.41,stage1,2,0
4.42,stage1,2,0
4.43,stage1,2,0
4.44,stage1,2,0
4.45,stage1,2,0
4.46,stage1,2,0
4.47,stage1,2,0
4.48,stage1,2,0
4.49,stage1,2,0
4.5,stage1,2,0
4.51,stage1,2,0
4.52,stage1,2,0
4.53,stage1,2,0
4.54,stage1,2,0
4.55,stage1,2,0
4.56,stage1,2,0
4.57,stage1,2,0
4.58,stage1,2,0
4.59,stage1,2,0
4.6,stage1,2,0
4.61,stage1,2,0
4.62,stage1,2,0
4.63,stage1,2,0
4.64,stage1,2,0
4.65,stage1,2,0
4.66,stage1,2,0
4.67,stage1,2,0
4.68,stage1,2,0
4.69,stage1,2,0
4.7,stage1,2,0
4.71,stage1,2,0
4.72,stage1,2,0
4.73,stage1,2,0
4.74,stage1,2,0
4.75,stage1,2,0
4.76,stage1,2,0
4.77,stage1,2,0
4.78,stage1,2,0
4.79,stage1,2,0
4.8,stage1,2,0
4.81,stage1,2,0
4.82,stage1,2,0
4.83,stage1,2,0
4.84,stage1,2,0
4.85,stage1,2,0
4.86,stage1,2,0
4.87,stage1,2,0
4.88,stage1,2,0
4.89,stage1,2,0
4.9,stage1,2,0
4.91,stage1,2,0
4.92,stage1,2,0
4.93,stage1,2,0
4.94,stage1,2,0
4.95,stage1,2,0
4.96,stage1,2,0
4.97,stage1,2,0
4.98,stage1,2,0
4.99,stage1,2,0
5.0,stage1,2,0
5.01,stage1,2,0
5.02,stage1,2,0
5.03,stage1,2,0
5.04,stage1,2,0
5.05,stage1,2,0
5.06,stage1,2,0
5.07,stage1,2,0
5.08,stage1,2,0
5.09,stage1,2,0
5.1,stage1,2,0
5.11,stage1,2,0
5.12,stage1,2,0
5.13,stage1,2,0
5.14,stage1,2,0
5.15,stage1,2,0
5.16,stage1,2,0
5.17,stage1,2,0
5.18,stage1,2,0
5.19,stage1,2,0
5.2,stage1,2,0
5.21,stage1,2,0
5.22,stage1,2,0
5.23,stage1,2,0
5.24,stage1,2,0
5.25,stage1,2,0
5.26,stage1,2,0
5.27,stage1,2,0
5.28,stage1,2,0
5.29,stage1,2,0
5.3,stage1,2,0
5.31,stage1,2,0
5.32,stage1,2,0
5.33,stage1,2,0
5.34,stage1,2,0
5.35,stage1,2,0
5.36,stage1,2,0
5.37,stage1,2,0
5.38,stage1,2,0
5.39,stage1,2,0
5.4,stage1,2,0
5.41,stage1,2,0
5.42,stage1,2,0
5.43,stage1,2,0
5.44,stage1,2,0
5.45,stage1,2,0
5.46,stage1,2,0
5.47,stage1,2,0
5.48,stage1,2,0
5.49,stage1,2,0
5.5,stage1,2,0
5.51,stage1,2,0
5.52,stage1,2,0
5.53,stage1,2,0
5.54,stage1,2,0
5.55,stage1,2,0
5.56,stage1,2,0
5.57,stage1,2,0
5.58,stage1,2,0
5.59,stage1,2,0
5.6,stage1,2,0
5.61,stage1,2,0
5.62,stage1,2,0
5.63,stage1,2,0
5.64,stage1,2,0
5.65,stage1,2,0
5.66,stage1,2,0
5.67,stage1,2,0
5.68,stage1,2,0
5.69,stage1,2,0
5.7,stage1,2,0
5.71,stage1,2,0
5.72,stage1,2,0
5.73,stage1,2,0
5.74,stage1,2,0
5.75,stage1,2,0
5.76,stage1,2,0
5.77,stage1,2,0
5.78,stage1,2,0
5.79,stage1,2,0
5.8,stage1,2,0
5.81,stage1,2,0
5.82,stage1,2,0
5.83,stage1,2,0
5.84,stage1,2,0
5.85,stage1,2,0
5.86,stage1,2,0
5.87,stage1,2,0
5.88,stage1,2,0
5.89,stage1,2,0
5.9,stage1,2,0
5.91,stage1,2,0
5.92,stage1,2,0
5.93,stage1,2,0
5.94,stage1,2,0
5.95,stage1,2,0
5.96,stage1,2,0
5.97,stage1,2,0
5.98,stage1,2,0
5.99,stage1,2,0
6.0,stage1,2,0
6.01,stage1,2,0
6.02,stage1,2,0
6.03,stage1,2,0
6.04,stage1,2,0
6.05,stage1,2,0
6.06,stage1,2,0
6.07,stage1,2,0
6.08,stage1,2,0
6.09,stage1,2,0
6.1,stage1,2,0
6.11,stage1,2,0
6.12,stage1,2,0
6.13,stage1,2,0
6.14,stage1,2,0
6.15,stage1,2,0
6.16,stage1,2,0
6.17,stage1,2,0
6.18,stage1,2,0
6.19,stage1,2,0
6.2,stage1,2,0
6.21,stage1,2,0
6.22,stage1,2,0
6.23,stage1,2,0
6.24,stage1,2,0
6.25,stage1,2,0
6.26,stage1,2,0
6.27,stage1,2,0
6.28,stage1,2,0
6.29,stage1,2,0
6.3,stage1,2,0
6.31,stage1,2,0
6.32,stage1,2,0
6.33,stage1,2,0
6.34,stage1,2,0
6.35,stage1,2,0
6.36,stage1,2,0
6.37,stage1,2,0
6.38,stage1,2,0
6.39,stage1,2,0
6.4,stage1,2,0
6.41,stage1,2,0
6.42,stage1,2,0
6.43,stage1,2,0
6.44,stage1,2,0
6.45,stage1,2,0
6.46,stage1,2,0
6.47,stage1,2,0
6.48,stage1,2,0
6.49,stage1,2,0
6.5,stage1,2,0
6.51,stage1,2,0
6.52,stage1,2,0
6.53,stage1,2,0
6.54,stage1,2,0
6.55,stage1,2,0
6.56,stage1,2,0
6.57,stage1,2,0
6.58,stage1,2,0
6.59,stage1,2,0
6.6,stage1,2,0
6.61,stage1,2,0
6.62,stage1,2,0
6.63,stage1,2,0
6.64,stage1,2,0
6.65,stage1,2,0
6.66,stage1,2,0
6.67,stage1,2,0
6.68,stage1,2,0
6.69,stage1,2,0
6.7,stage1,2,0
6.71,stage1,2,0
6.72,stage1,2,0
6.73,stage1,2,0
6.74,stage1,2,0
6.75,stage1,2,0
6.76,stage1,2,0
6.77,stage1,2,0
6.78,stage1,2,0
6.79,stage1,2,0
6.8,stage1,2,0
6.81,stage1,2,0
6.82,stage1,2,0
6.83,stage1,2,0
6.84,stage1,2,0
6.85,stage1,2,0
6.86,stage1,2,0
6.87,stage1,2,0
6.88,stage1,2,0
6.89,stage1,2,0
6.9,stage1,2,0
6.91,stage1,2,0
6.92,stage1,2,0
6.93,stage1,2,0
6.94,stage1,2,0
6.95,stage1,2,0
6.96,stage1,2,0
6.97,stage1,2,0
6.98,stage1,2,0
6.99,stage1,2,0
7.0,stage1,2,0
7.01,stage1,2,0
7.02,stage1,2,0
7.03,stage1,2,0
7.04,stage1,2,0
7.05,stage1,2,0
7.06,stage1,2,0
7.07,stage1,2,0
7.08,stage1,2,0
7.09,stage1,2,0
7.1,stage1,2,0
7.11,stage1,2,0
7.12,stage1,2,0
7.13,stage1,2,0
7.14,stage1,2,0
7.15,stage1,2,0
7.16,stage1,2,0
7.17,stage1,2,0
7.18,stage1,2,0
7.19,stage1,2,0
7.2,stage1,2,0
7.21,stage1,2,0
7.22,stage1,2,0
7.23,stage1,2,0
7.24,stage1,2,0
7.25,stage1,2,0
7.26,stage1,2,0
7.27,stage1,2,0
7.28,stage1,2,0
7.29,stage1,2,0
7.3,stage1,2,0
