case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,30.742466745898128,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001280
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,30.897855815012008,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001284
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,30.893788987305015,4.686,4.733556642737044,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001288
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,30.901458453852683,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001292
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.43183231819421053,31.000000005100052,31.00000000510005,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001523
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.34480429580435157,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001539
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.4335331292822957,10.0,10.0,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage2_graph_match_only,False,False,True,0.5315488316118717,4.30753758620742,4.6888753699884065,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001524
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.30089466366916895,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001555
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.5295505411922932,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001541
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.32703991094604135,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001559
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.8860264490358531,0.9999546068,0.9999546068,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001543
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.5516853118315339,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001567
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.5025973636657,28.000000000000078,28.160255680657524,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001569
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.636659599840641,4.686,4.733556642737044,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001563
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.4208757299929857,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001570
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.35582012264057994,43.442640703146,43.442640703146,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001571
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.477728386875242,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001572
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.5498959720134735,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001573
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.30618644086644053,2.3500646587726526,3.967188212324491,0.09132014417432037,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001574
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.33410023199394345,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001575
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,ablation_stage2_graph_match_only,True,True,True,0.33283714670687914,0.00842109944586092,0.015822621569099454,0.004281469458447085,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001576
case_bench_fmu-001577,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.2559354640543461,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001577
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,ablation_stage2_graph_match_only,False,False,True,0.3911478999070823,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001579
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.44813528191298246,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001578
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.2834102618508041,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001580
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.3757912330329418,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001581
case_bench_fmu-001582,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.2996330033056438,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001582
case_bench_fmu-001583,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,True,True,True,0.40051889466121793,1.726628048955157,3.435693404710422,0.07984039067313789,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001583
case_bench_fmu-001584,benchmark_single_fmu_case,simple,1,True,ablation_stage2_graph_match_only,False,False,True,0.46171832690015435,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_graph_match_only/case_bench_fmu-001584
