time,stage_id,y,_output,x2
0.0,stage1,0,0,0
0.001,stage1,0,0,0
0.002,stage1,0,0,0
0.003,stage1,0,0,0
0.004,stage1,0,0,0
0.005,stage1,0,0,0
0.006,stage1,0,0,0
0.007,stage1,0,0,0
0.008,stage1,0,0,0
0.009,stage1,0,0,0
0.01,stage1,0,0,0
0.011,stage1,0,0,0
0.012,stage1,0,0,0
0.013,stage1,0,0,0
0.014,stage1,0,0,0
0.015,stage1,0,0,0
0.016,stage1,0,0,0
0.017,stage1,0,0,0
0.018,stage1,0,0,0
0.019,stage1,0,0,0
0.02,stage1,0,0,0
0.021,stage1,0,0,0
0.022,stage1,0,0,0
0.023,stage1,0,0,0
0.024,stage1,0,0,0
0.025,stage1,0,0,0
0.026,stage1,0,0,0
0.027,stage1,0,0,0
0.028,stage1,0,0,0
0.029,stage1,0,0,0
0.03,stage1,0,0,0
0.031,stage1,0,0,0
0.032,stage1,0,0,0
0.033,stage1,0,0,0
0.034,stage1,0,0,0
0.035,stage1,0,0,0
0.036,stage1,0,0,0
0.037,stage1,0,0,0
0.038,stage1,0,0,0
0.039,stage1,0,0,0
0.04,stage1,0,0,0
0.041,stage1,0,0,0
0.042,stage1,0,0,0
0.043,stage1,0,0,0
0.044,stage1,0,0,0
0.045,stage1,0,0,0
0.046,stage1,0,0,0
0.047,stage1,0,0,0
0.048,stage1,0,0,0
0.049,stage1,0,0,0
0.05,stage1,0,0,0
0.051,stage1,0,0,0
0.052,stage1,0,0,0
0.053,stage1,0,0,0
0.054,stage1,0,0,0
0.055,stage1,0,0,0
0.056,stage1,0,0,0
0.057,stage1,0,0,0
0.058,stage1,0,0,0
0.059,stage1,0,0,0
0.06,stage1,0,0,0
0.061,stage1,0,0,0
0.062,stage1,0,0,0
0.063,stage1,0,0,0
0.064,stage1,0,0,0
0.065,stage1,0,0,0
0.066,stage1,0,0,0
0.067,stage1,0,0,0
0.068,stage1,0,0,0
0.069,stage1,0,0,0
0.07,stage1,0,0,0
0.071,stage1,0,0,0
0.072,stage1,0,0,0
0.073,stage1,0,0,0
0.074,stage1,0,0,0
0.075,stage1,0,0,0
0.076,stage1,0,0,0
0.077,stage1,0,0,0
0.078,stage1,0,0,0
0.079,stage1,0,0,0
0.08,stage1,0,0,0
0.081,stage1,0,0,0
0.082,stage1,0,0,0
0.083,stage1,0,0,0
0.084,stage1,0,0,0
0.085,stage1,0,0,0
0.086,stage1,0,0,0
0.087,stage1,0,0,0
0.088,stage1,0,0,0
0.089,stage1,0,0,0
0.09,stage1,0,0,0
0.091,stage1,0,0,0
0.092,stage1,0,0,0
0.093,stage1,0,0,0
0.094,stage1,0,0,0
0.095,stage1,0,0,0
0.096,stage1,0,0,0
0.097,stage1,0,0,0
0.098,stage1,0,0,0
0.099,stage1,0,0,0
0.1,stage1,0,0,0
0.101,stage1,0,0,0
0.102,stage1,0,0,0
0.103,stage1,0,0,0
0.104,stage1,0,0,0
0.105,stage1,0,0,0
0.106,stage1,0,0,0
0.107,stage1,0,0,0
0.108,stage1,0,0,0
0.109,stage1,0,0,0
0.11,stage1,0,0,0
0.111,stage1,0,0,0
0.112,stage1,0,0,0
0.113,stage1,0,0,0
0.114,stage1,0,0,0
0.115,stage1,0,0,0
0.116,stage1,0,0,0
0.117,stage1,0,0,0
0.118,stage1,0,0,0
0.119,stage1,0,0,0
0.12,stage1,0,0,0
0.121,stage1,0,0,0
0.122,stage1,0,0,0
0.123,stage1,0,0,0
0.124,stage1,0,0,0
0.125,stage1,0,0,0
0.126,stage1,0,0,0
0.127,stage1,0,0,0
0.128,stage1,0,0,0
0.129,stage1,0,0,0
0.13,stage1,0,0,0
0.131,stage1,0,0,0
0.132,stage1,0,0,0
0.133,stage1,0,0,0
0.134,stage1,0,0,0
0.135,stage1,0,0,0
0.136,stage1,0,0,0
0.137,stage1,0,0,0
0.138,stage1,0,0,0
0.139,stage1,0,0,0
0.14,stage1,0,0,0
0.141,stage1,0,0,0
0.142,stage1,0,0,0
0.143,stage1,0,0,0
0.144,stage1,0,0,0
0.145,stage1,0,0,0
0.146,stage1,0,0,0
0.147,stage1,0,0,0
0.148,stage1,0,0,0
0.149,stage1,0,0,0
0.15,stage1,0,0,0
0.151,stage1,0,0,0
0.152,stage1,0,0,0
0.153,stage1,0,0,0
0.154,stage1,0,0,0
0.155,stage1,0,0,0
0.156,stage1,0,0,0
0.157,stage1,0,0,0
0.158,stage1,0,0,0
0.159,stage1,0,0,0
0.16,stage1,0,0,0
0.161,stage1,0,0,0
0.162,stage1,0,0,0
0.163,stage1,0,0,0
0.164,stage1,0,0,0
0.165,stage1,0,0,0
0.166,stage1,0,0,0
0.167,stage1,0,0,0
0.168,stage1,0,0,0
0.169,stage1,0,0,0
0.17,stage1,0,0,0
0.171,stage1,0,0,0
0.172,stage1,0,0,0
0.173,stage1,0,0,0
0.174,stage1,0,0,0
0.175,stage1,0,0,0
0.176,stage1,0,0,0
0.177,stage1,0,0,0
0.178,stage1,0,0,0
0.179,stage1,0,0,0
0.18,stage1,0,0,0
0.181,stage1,0,0,0
0.182,stage1,0,0,0
0.183,stage1,0,0,0
0.184,stage1,0,0,0
0.185,stage1,0,0,0
0.186,stage1,0,0,0
0.187,stage1,0,0,0
0.188,stage1,0,0,0
0.189,stage1,0,0,0
0.19,stage1,0,0,0
0.191,stage1,0,0,0
0.192,stage1,0,0,0
0.193,stage1,0,0,0
0.194,stage1,0,0,0
0.195,stage1,0,0,0
0.196,stage1,0,0,0
0.197,stage1,0,0,0
0.198,stage1,0,0,0
0.199,stage1,0,0,0
0.2,stage1,0,0,0
0.201,stage1,0,0,0
0.202,stage1,0,0,0
0.203,stage1,0,0,0
0.204,stage1,0,0,0
0.205,stage1,0,0,0
0.206,stage1,0,0,0
0.207,stage1,0,0,0
0.208,stage1,0,0,0
0.209,stage1,0,0,0
0.21,stage1,0,0,0
0.211,stage1,0,0,0
0.212,stage1,0,0,0
0.213,stage1,0,0,0
0.214,stage1,0,0,0
0.215,stage1,0,0,0
0.216,stage1,0,0,0
0.217,stage1,0,0,0
0.218,stage1,0,0,0
0.219,stage1,0,0,0
0.22,stage1,0,0,0
0.221,stage1,0,0,0
0.222,stage1,0,0,0
0.223,stage1,0,0,0
0.224,stage1,0,0,0
0.225,stage1,0,0,0
0.226,stage1,0,0,0
0.227,stage1,0,0,0
0.228,stage1,0,0,0
0.229,stage1,0,0,0
0.23,stage1,0,0,0
0.231,stage1,0,0,0
0.232,stage1,0,0,0
0.233,stage1,0,0,0
0.234,stage1,0,0,0
0.235,stage1,0,0,0
0.236,stage1,0,0,0
0.237,stage1,0,0,0
0.238,stage1,0,0,0
0.239,stage1,0,0,0
0.24,stage1,0,0,0
0.241,stage1,0,0,0
0.242,stage1,0,0,0
0.243,stage1,0,0,0
0.244,stage1,0,0,0
0.245,stage1,0,0,0
0.246,stage1,0,0,0
0.247,stage1,0,0,0
0.248,stage1,0,0,0
0.249,stage1,0,0,0
0.25,stage1,0,0,0
0.251,stage1,0,0,0
0.252,stage1,0,0,0
0.253,stage1,0,0,0
0.254,stage1,0,0,0
0.255,stage1,0,0,0
0.256,stage1,0,0,0
0.257,stage1,0,0,0
0.258,stage1,0,0,0
0.259,stage1,0,0,0
0.26,stage1,0,0,0
0.261,stage1,0,0,0
0.262,stage1,0,0,0
0.263,stage1,0,0,0
0.264,stage1,0,0,0
0.265,stage1,0,0,0
0.266,stage1,0,0,0
0.267,stage1,0,0,0
0.268,stage1,0,0,0
0.269,stage1,0,0,0
0.27,stage1,0,0,0
0.271,stage1,0,0,0
0.272,stage1,0,0,0
0.273,stage1,0,0,0
0.274,stage1,0,0,0
0.275,stage1,0,0,0
0.276,stage1,0,0,0
0.277,stage1,0,0,0
0.278,stage1,0,0,0
0.279,stage1,0,0,0
0.28,stage1,0,0,0
0.281,stage1,0,0,0
0.282,stage1,0,0,0
0.283,stage1,0,0,0
0.284,stage1,0,0,0
0.285,stage1,0,0,0
0.286,stage1,0,0,0
0.287,stage1,0,0,0
0.288,stage1,0,0,0
0.289,stage1,0,0,0
0.29,stage1,0,0,0
0.291,stage1,0,0,0
0.292,stage1,0,0,0
0.293,stage1,0,0,0
0.294,stage1,0,0,0
0.295,stage1,0,0,0
0.296,stage1,0,0,0
0.297,stage1,0,0,0
0.298,stage1,0,0,0
0.299,stage1,0,0,0
0.3,stage1,0,0,0
0.301,stage1,0,0,0
0.302,stage1,0,0,0
0.303,stage1,0,0,0
0.304,stage1,0,0,0
0.305,stage1,0,0,0
0.306,stage1,0,0,0
0.307,stage1,0,0,0
0.308,stage1,0,0,0
0.309,stage1,0,0,0
0.31,stage1,0,0,0
0.311,stage1,0,0,0
0.312,stage1,0,0,0
0.313,stage1,0,0,0
0.314,stage1,0,0,0
0.315,stage1,0,0,0
0.316,stage1,0,0,0
0.317,stage1,0,0,0
0.318,stage1,0,0,0
0.319,stage1,0,0,0
0.32,stage1,0,0,0
0.321,stage1,0,0,0
0.322,stage1,0,0,0
0.323,stage1,0,0,0
0.324,stage1,0,0,0
0.325,stage1,0,0,0
0.326,stage1,0,0,0
0.327,stage1,0,0,0
0.328,stage1,0,0,0
0.329,stage1,0,0,0
0.33,stage1,0,0,0
0.331,stage1,0,0,0
0.332,stage1,0,0,0
0.333,stage1,0,0,0
0.334,stage1,0,0,0
0.335,stage1,0,0,0
0.336,stage1,0,0,0
0.337,stage1,0,0,0
0.338,stage1,0,0,0
0.339,stage1,0,0,0
0.34,stage1,0,0,0
0.341,stage1,0,0,0
0.342,stage1,0,0,0
0.343,stage1,0,0,0
0.344,stage1,0,0,0
0.345,stage1,0,0,0
0.346,stage1,0,0,0
0.347,stage1,0,0,0
0.348,stage1,0,0,0
0.349,stage1,0,0,0
0.35,stage1,0,0,0
0.351,stage1,0,0,0
0.352,stage1,0,0,0
0.353,stage1,0,0,0
0.354,stage1,0,0,0
0.355,stage1,0,0,0
0.356,stage1,0,0,0
0.357,stage1,0,0,0
0.358,stage1,0,0,0
0.359,stage1,0,0,0
0.36,stage1,0,0,0
0.361,stage1,0,0,0
0.362,stage1,0,0,0
0.363,stage1,0,0,0
0.364,stage1,0,0,0
0.365,stage1,0,0,0
0.366,stage1,0,0,0
0.367,stage1,0,0,0
0.368,stage1,0,0,0
0.369,stage1,0,0,0
0.37,stage1,0,0,0
0.371,stage1,0,0,0
0.372,stage1,0,0,0
0.373,stage1,0,0,0
0.374,stage1,0,0,0
