time,stage_id,valve,level,leak
0.0,stage1,False,1.0,False
0.01,stage1,False,1.0,False
0.02,stage1,False,1.0,False
0.03,stage1,False,1.0,False
0.04,stage1,False,1.0,False
0.05,stage1,False,1.0,False
0.06,stage1,False,1.0,False
0.07,stage1,False,1.0,False
0.08,stage1,False,1.0,False
0.09,stage1,False,1.0,False
0.1,stage1,False,1.0,False
0.11,stage1,False,1.0,False
0.12,stage1,False,1.0,False
0.13,stage1,False,1.0,False
0.14,stage1,False,1.0,False
0.15,stage1,False,1.0,False
0.16,stage1,False,1.0,False
0.17,stage1,False,1.0,False
0.18,stage1,False,1.0,False
0.19,stage1,False,1.0,False
0.2,stage1,False,1.0,False
0.21,stage1,False,1.0,False
0.22,stage1,False,1.0,False
0.23,stage1,False,1.0,False
0.24,stage1,False,1.0,False
0.25,stage1,False,1.0,False
0.26,stage1,False,1.0,False
0.27,stage1,False,1.0,False
0.28,stage1,False,1.0,False
0.29,stage1,False,1.0,False
0.3,stage1,False,1.0,False
0.31,stage1,False,1.0,False
0.32,stage1,False,1.0,False
0.33,stage1,False,1.0,False
0.34,stage1,False,1.0,False
0.35,stage1,False,1.0,False
0.36,stage1,False,1.0,False
0.37,stage1,False,1.0,False
0.38,stage1,False,1.0,False
0.39,stage1,False,1.0,False
0.4,stage1,False,1.0,False
0.41,stage1,False,1.0,False
0.42,stage1,False,1.0,False
0.43,stage1,False,1.0,False
0.44,stage1,False,1.0,False
0.45,stage1,False,1.0,False
0.46,stage1,False,1.0,False
0.47,stage1,False,1.0,False
0.48,stage1,False,1.0,False
0.49,stage1,False,1.0,False
0.5,stage1,False,1.0,False
0.51,stage1,False,1.0,False
0.52,stage1,False,1.0,False
0.53,stage1,False,1.0,False
0.54,stage1,False,1.0,False
0.55,stage1,False,1.0,False
0.56,stage1,False,1.0,False
0.57,stage1,False,1.0,False
0.58,stage1,False,1.0,False
0.59,stage1,False,1.0,False
0.6,stage1,False,1.0,False
0.61,stage1,False,1.0,False
0.62,stage1,False,1.0,False
0.63,stage1,False,1.0,False
0.64,stage1,False,1.0,False
0.65,stage1,False,1.0,False
0.66,stage1,False,1.0,False
0.67,stage1,False,1.0,False
0.68,stage1,False,1.0,False
0.69,stage1,False,1.0,False
0.7,stage1,False,1.0,False
0.71,stage1,False,1.0,False
0.72,stage1,False,1.0,False
0.73,stage1,False,1.0,False
0.74,stage1,False,1.0,False
0.75,stage1,False,1.0,False
0.76,stage1,False,1.0,False
0.77,stage1,False,1.0,False
0.78,stage1,False,1.0,False
0.79,stage1,False,1.0,False
0.8,stage1,False,1.0,False
0.81,stage1,False,1.0,False
0.82,stage1,False,1.0,False
0.83,stage1,False,1.0,False
0.84,stage1,False,1.0,False
0.85,stage1,False,1.0,False
0.86,stage1,False,1.0,False
0.87,stage1,False,1.0,False
0.88,stage1,False,1.0,False
0.89,stage1,False,1.0,False
0.9,stage1,False,1.0,False
0.91,stage1,False,1.0,False
0.92,stage1,False,1.0,False
0.93,stage1,False,1.0,False
0.94,stage1,False,1.0,False
0.95,stage1,False,1.0,False
0.96,stage1,False,1.0,False
0.97,stage1,False,1.0,False
0.98,stage1,False,1.0,False
0.99,stage1,False,1.0,False
1.0,stage1,False,1.0,False
1.01,stage1,False,1.0,False
1.02,stage1,False,1.0,False
1.03,stage1,False,1.0,False
1.04,stage1,False,1.0,False
1.05,stage1,False,1.0,False
1.06,stage1,False,1.0,False
1.07,stage1,False,1.0,False
1.08,stage1,False,1.0,False
1.09,stage1,False,1.0,False
1.1,stage1,False,1.0,False
1.11,stage1,False,1.0,False
1.12,stage1,False,1.0,False
1.13,stage1,False,1.0,False
1.14,stage1,False,1.0,False
1.15,stage1,False,1.0,False
1.16,stage1,False,1.0,False
1.17,stage1,False,1.0,False
1.18,stage1,False,1.0,False
1.19,stage1,False,1.0,False
1.2,stage1,False,1.0,False
1.21,stage1,False,1.0,False
1.22,stage1,False,1.0,False
1.23,stage1,False,1.0,False
1.24,stage1,False,1.0,False
1.25,stage1,False,1.0,False
1.26,stage1,False,1.0,False
1.27,stage1,False,1.0,False
1.28,stage1,False,1.0,False
1.29,stage1,False,1.0,False
1.3,stage1,False,1.0,False
1.31,stage1,False,1.0,False
1.32,stage1,False,1.0,False
1.33,stage1,False,1.0,False
1.34,stage1,False,1.0,False
1.35,stage1,False,1.0,False
1.36,stage1,False,1.0,False
1.37,stage1,False,1.0,False
1.38,stage1,False,1.0,False
1.39,stage1,False,1.0,False
1.4,stage1,False,1.0,False
1.41,stage1,False,1.0,False
1.42,stage1,False,1.0,False
1.43,stage1,False,1.0,False
1.44,stage1,False,1.0,False
1.45,stage1,False,1.0,False
1.46,stage1,False,1.0,False
1.47,stage1,False,1.0,False
1.48,stage1,False,1.0,False
1.49,stage1,False,1.0,False
1.5,stage1,False,1.0,False
1.51,stage1,False,1.0,False
1.52,stage1,False,1.0,False
1.53,stage1,False,1.0,False
1.54,stage1,False,1.0,False
1.55,stage1,False,1.0,False
1.56,stage1,False,1.0,False
1.57,stage1,False,1.0,False
1.58,stage1,False,1.0,False
1.59,stage1,False,1.0,False
1.6,stage1,False,1.0,False
1.61,stage1,False,1.0,False
1.62,stage1,False,1.0,False
1.63,stage1,False,1.0,False
1.64,stage1,False,1.0,False
1.65,stage1,False,1.0,False
1.66,stage1,False,1.0,False
1.67,stage1,False,1.0,False
1.68,stage1,False,1.0,False
1.69,stage1,False,1.0,False
1.7,stage1,False,1.0,False
1.71,stage1,False,1.0,False
1.72,stage1,False,1.0,False
1.73,stage1,False,1.0,False
1.74,stage1,False,1.0,False
1.75,stage1,False,1.0,False
1.76,stage1,False,1.0,False
1.77,stage1,False,1.0,False
1.78,stage1,False,1.0,False
1.79,stage1,False,1.0,False
1.8,stage1,False,1.0,False
1.81,stage1,False,1.0,False
1.82,stage1,False,1.0,False
1.83,stage1,False,1.0,False
1.84,stage1,False,1.0,False
1.85,stage1,False,1.0,False
1.86,stage1,False,1.0,False
1.87,stage1,False,1.0,False
1.88,stage1,False,1.0,False
1.89,stage1,False,1.0,False
1.9,stage1,False,1.0,False
1.91,stage1,False,1.0,False
1.92,stage1,False,1.0,False
1.93,stage1,False,1.0,False
1.94,stage1,False,1.0,False
1.95,stage1,False,1.0,False
1.96,stage1,False,1.0,False
1.97,stage1,False,1.0,False
1.98,stage1,False,1.0,False
1.99,stage1,False,1.0,False
2.0,stage1,False,1.0,False
2.01,stage1,False,1.0,False
2.02,stage1,False,1.0,False
2.03,stage1,False,1.0,False
2.04,stage1,False,1.0,False
2.05,stage1,False,1.0,False
2.06,stage1,False,1.0,False
2.07,stage1,False,1.0,False
2.08,stage1,False,1.0,False
2.09,stage1,False,1.0,False
2.1,stage1,False,1.0,False
2.11,stage1,False,1.0,False
2.12,stage1,False,1.0,False
2.13,stage1,False,1.0,False
2.14,stage1,False,1.0,False
2.15,stage1,False,1.0,False
2.16,stage1,False,1.0,False
2.17,stage1,False,1.0,False
2.18,stage1,False,1.0,False
2.19,stage1,False,1.0,False
2.2,stage1,False,1.0,False
2.21,stage1,False,1.0,False
2.22,stage1,False,1.0,False
2.23,stage1,False,1.0,False
2.24,stage1,False,1.0,False
2.25,stage1,False,1.0,False
2.26,stage1,False,1.0,False
2.27,stage1,False,1.0,False
2.28,stage1,False,1.0,False
2.29,stage1,False,1.0,False
2.3,stage1,False,1.0,False
2.31,stage1,False,1.0,False
2.32,stage1,False,1.0,False
2.33,stage1,False,1.0,False
2.34,stage1,False,1.0,False
2.35,stage1,False,1.0,False
2.36,stage1,False,1.0,False
2.37,stage1,False,1.0,False
2.38,stage1,False,1.0,False
2.39,stage1,False,1.0,False
2.4,stage1,False,1.0,False
2.41,stage1,False,1.0,False
2.42,stage1,False,1.0,False
2.43,stage1,False,1.0,False
2.44,stage1,False,1.0,False
2.45,stage1,False,1.0,False
2.46,stage1,False,1.0,False
2.47,stage1,False,1.0,False
2.48,stage1,False,1.0,False
2.49,stage1,False,1.0,False
2.5,stage1,False,1.0,False
2.51,stage1,False,1.0,False
2.52,stage1,False,1.0,False
2.53,stage1,False,1.0,False
2.54,stage1,False,1.0,False
2.55,stage1,False,1.0,False
2.56,stage1,False,1.0,False
2.57,stage1,False,1.0,False
2.58,stage1,False,1.0,False
2.59,stage1,False,1.0,False
2.6,stage1,False,1.0,False
2.61,stage1,False,1.0,False
2.62,stage1,False,1.0,False
2.63,stage1,False,1.0,False
2.64,stage1,False,1.0,False
2.65,stage1,False,1.0,False
2.66,stage1,False,1.0,False
2.67,stage1,False,1.0,False
2.68,stage1,False,1.0,False
2.69,stage1,False,1.0,False
2.7,stage1,False,1.0,False
2.71,stage1,False,1.0,False
2.72,stage1,False,1.0,False
2.73,stage1,False,1.0,False
2.74,stage1,False,1.0,False
