time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,force_cmd_N,theta_rad,x_m
0.0,stage1,0.0,0.0,0.0,0.0,0.12,0.0
0.01,stage1,0.0,0.0,0.0,-1.9199999999999997,0.12,0.0
0.02,stage1,0.0,0.0,0.0,-3.4583999999999997,0.12,0.0
0.03,stage1,0.0,0.0,0.0,-4.691519999999999,0.12,0.0
0.04,stage1,0.0,0.0,0.0,-5.680415999999999,0.12,0.0
0.05,stage1,0.0,0.0,0.0,-6.473932799999999,0.12,0.0
0.06,stage1,0.0,0.0,0.0,-7.111146239999999,0.12,0.0
0.07,stage1,0.0,0.0,0.0,-7.6233169919999995,0.12,0.0
0.08,stage1,0.0,0.0,0.0,-8.0354535936,0.12,0.0
0.09,stage1,0.0,0.0,0.0,-8.367562874879999,0.12,0.0
0.1,stage1,0.0,0.0,0.0,-8.635650299904,0.12,0.0
0.11,stage1,0.0,0.0,0.0,-8.8525202399232,0.12,0.0
0.12,stage1,0.0,0.0,0.0,-9.02841619193856,0.12,0.0
0.13,stage1,0.0,0.0,0.0,-9.171532953550848,0.12,0.0
0.14,stage1,0.0,0.0,0.0,-9.288426362840678,0.12,0.0
0.15,stage1,0.0,0.0,0.0,-9.384341090272542,0.12,0.0
0.16,stage1,0.0,0.0,0.0,-9.463472872218034,0.12,0.0
0.17,stage1,0.0,0.0,0.0,-9.529178297774427,0.12,0.0
0.18,stage1,0.0,0.0,0.0,-9.584142638219541,0.12,0.0
0.19,stage1,0.0,0.0,0.0,-9.630514110575632,0.12,0.0
0.2,stage1,0.0,0.0,0.0,-9.670011288460506,0.12,0.0
0.21,stage1,0.0,0.0,0.0,-9.704009030768404,0.12,0.0
0.22,stage1,0.0,0.0,0.0,-9.733607224614722,0.12,0.0
0.23,stage1,0.0,0.0,0.0,-9.759685779691777,0.12,0.0
0.24,stage1,0.0,0.0,0.0,-9.782948623753422,0.12,0.0
0.25,stage1,0.0,0.0,0.0,-9.803958899002737,0.12,0.0
0.26,stage1,0.0,0.0,0.0,-9.82316711920219,0.12,0.0
0.27,stage1,0.0,0.0,0.0,-9.840933695361752,0.12,0.0
0.28,stage1,0.0,0.0,0.0,-9.8575469562894,0.12,0.0
0.29,stage1,0.0,0.0,0.0,-9.87323756503152,0.12,0.0
0.3,stage1,0.0,0.0,0.0,-9.888190052025216,0.12,0.0
0.31,stage1,0.0,0.0,0.0,-9.902552041620172,0.12,0.0
0.32,stage1,0.0,0.0,0.0,-9.916441633296138,0.12,0.0
0.33,stage1,0.0,0.0,0.0,-9.92995330663691,0.12,0.0
0.34,stage1,0.0,0.0,0.0,-9.943162645309528,0.12,0.0
0.35,stage1,0.0,0.0,0.0,-9.956130116247621,0.12,0.0
0.36,stage1,0.0,0.0,0.0,-9.968904092998097,0.12,0.0
0.37,stage1,0.0,0.0,0.0,-9.981523274398477,0.12,0.0
0.38,stage1,0.0,0.0,0.0,-9.994018619518782,0.12,0.0
0.39,stage1,0.0,0.0,0.0,-10.006414895615025,0.12,0.0
0.4,stage1,0.0,0.0,0.0,-10.01873191649202,0.12,0.0
0.41,stage1,0.0,0.0,0.0,-10.030985533193617,0.12,0.0
0.42,stage1,0.0,0.0,0.0,-10.043188426554893,0.12,0.0
0.43,stage1,0.0,0.0,0.0,-10.055350741243915,0.12,0.0
0.44,stage1,0.0,0.0,0.0,-10.067480592995132,0.12,0.0
0.45,stage1,0.0,0.0,0.0,-10.079584474396105,0.12,0.0
0.46,stage1,0.0,0.0,0.0,-10.091667579516884,0.12,0.0
0.47,stage1,0.0,0.0,0.0,-10.103734063613507,0.12,0.0
0.48,stage1,0.0,0.0,0.0,-10.115787250890806,0.12,0.0
0.49,stage1,0.0,0.0,0.0,-10.127829800712645,0.12,0.0
0.5,stage1,0.0,0.0,0.0,-10.139863840570115,0.12,0.0
0.51,stage1,0.0,0.0,0.0,-10.151891072456092,0.12,0.0
0.52,stage1,0.0,0.0,0.0,-10.163912857964874,0.12,0.0
0.53,stage1,0.0,0.0,0.0,-10.1759302863719,0.12,0.0
0.54,stage1,0.0,0.0,0.0,-10.18794422909752,0.12,0.0
0.55,stage1,0.0,0.0,0.0,-10.199955383278015,0.12,0.0
0.56,stage1,0.0,0.0,0.0,-10.211964306622411,0.12,0.0
0.57,stage1,0.0,0.0,0.0,-10.223971445297929,0.12,0.0
0.58,stage1,0.0,0.0,0.0,-10.235977156238343,0.12,0.0
0.59,stage1,0.0,0.0,0.0,-10.247981724990675,0.12,0.0
0.6,stage1,0.0,0.0,0.0,-10.25998537999254,0.12,0.0
0.61,stage1,0.0,0.0,0.0,-10.271988303994032,0.12,0.0
0.62,stage1,0.0,0.0,0.0,-10.283990643195226,0.12,0.0
0.63,stage1,0.0,0.0,0.0,-10.29599251455618,0.12,0.0
0.64,stage1,0.0,0.0,0.0,-10.307994011644945,0.12,0.0
0.65,stage1,0.0,0.0,0.0,-10.319995209315957,0.12,0.0
0.66,stage1,0.0,0.0,0.0,-10.331996167452765,0.12,0.0
0.67,stage1,0.0,0.0,0.0,-10.343996933962211,0.12,0.0
0.68,stage1,0.0,0.0,0.0,-10.35599754716977,0.12,0.0
0.69,stage1,0.0,0.0,0.0,-10.367998037735816,0.12,0.0
0.7,stage1,0.0,0.0,0.0,-10.379998430188653,0.12,0.0
0.71,stage1,0.0,0.0,0.0,-10.391998744150923,0.12,0.0
0.72,stage1,0.0,0.0,0.0,-10.40399899532074,0.12,0.0
0.73,stage1,0.0,0.0,0.0,-10.41599919625659,0.12,0.0
0.74,stage1,0.0,0.0,0.0,-10.427999357005273,0.12,0.0
0.75,stage1,0.0,0.0,0.0,-10.439999485604218,0.12,0.0
0.76,stage1,0.0,0.0,0.0,-10.451999588483375,0.12,0.0
0.77,stage1,0.0,0.0,0.0,-10.4639996707867,0.12,0.0
0.78,stage1,0.0,0.0,0.0,-10.47599973662936,0.12,0.0
0.79,stage1,0.0,0.0,0.0,-10.487999789303489,0.12,0.0
0.8,stage1,0.0,0.0,0.0,-10.499999831442791,0.12,0.0
0.81,stage1,0.0,0.0,0.0,-10.511999865154232,0.12,0.0
0.82,stage1,0.0,0.0,0.0,-10.523999892123387,0.12,0.0
0.83,stage1,0.0,0.0,0.0,-10.53599991369871,0.12,0.0
0.84,stage1,0.0,0.0,0.0,-10.547999930958968,0.12,0.0
0.85,stage1,0.0,0.0,0.0,-10.559999944767174,0.12,0.0
0.86,stage1,0.0,0.0,0.0,-10.57199995581374,0.12,0.0
0.87,stage1,0.0,0.0,0.0,-10.583999964650992,0.12,0.0
0.88,stage1,0.0,0.0,0.0,-10.595999971720794,0.12,0.0
0.89,stage1,0.0,0.0,0.0,-10.607999977376634,0.12,0.0
0.9,stage1,0.0,0.0,0.0,-10.619999981901307,0.12,0.0
0.91,stage1,0.0,0.0,0.0,-10.631999985521047,0.12,0.0
0.92,stage1,0.0,0.0,0.0,-10.643999988416837,0.12,0.0
0.93,stage1,0.0,0.0,0.0,-10.65599999073347,0.12,0.0
0.94,stage1,0.0,0.0,0.0,-10.667999992586775,0.12,0.0
0.95,stage1,0.0,0.0,0.0,-10.679999994069421,0.12,0.0
0.96,stage1,0.0,0.0,0.0,-10.691999995255538,0.12,0.0
0.97,stage1,0.0,0.0,0.0,-10.70399999620443,0.12,0.0
0.98,stage1,0.0,0.0,0.0,-10.715999996963545,0.12,0.0
0.99,stage1,0.0,0.0,0.0,-10.727999997570835,0.12,0.0
1.0,stage1,0.0,0.0,0.0,-10.73999999805667,0.12,0.0
