case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,18.76793739432469,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001280
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,30.911778956651688,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001292
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,31.10519125405699,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001288
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,31.134405146818608,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001284
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.5678989589214325,4.307537586207421,4.6888753699884065,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001524
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.582488926127553,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001539
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.9743562652729452,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001535
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.6536976890638471,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001543
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.9314108802936971,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001541
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.5310082300566137,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001555
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.7042545601725578,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001559
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.930608969181776,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001563
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.8841697378084064,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001567
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6617959360592067,28.000000000000078,28.160255680657524,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001569
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.4980293670669198,0.1248515763546484,0.19964056605934882,0.04277522636793146,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001570
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.5889289784245193,43.442640703146,43.442640703146,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001571
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.6952479369938374,0.004300820359500659,0.005979794856218856,0.0016602907902848012,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001573
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,1.0031979456543922,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001572
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.7780977366492152,3.5372964572917107,4.657938484217712,0.10722042695439545,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001574
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6898938282392919,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001575
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.7281587170436978,0.014730947958693057,0.027541393058158236,0.00762815283741794,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001576
case_bench_fmu-001577,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6897763679735363,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001577
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6806473606266081,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001578
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.47987543093040586,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001579
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.5923020811751485,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001580
case_bench_fmu-001582,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.561742833815515,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001582
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.7841736800037324,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001581
case_bench_fmu-001583,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.6981822261586785,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001583
case_bench_fmu-001586,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.5584417162463069,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001586
case_bench_fmu-001584,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.7805928150191903,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001584
case_bench_fmu-001587,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.695890189614147,0.004300820359499797,0.005979794856217453,0.0016602907902844544,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001587
case_bench_fmu-001588,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.5216412008740008,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001588
case_bench_fmu-001589,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6825830182060599,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001589
case_bench_fmu-001590,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.6244549909606576,0.004300820359499797,0.005979794856217453,0.0016602907902844544,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001590
case_bench_fmu-001591,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6038137110881507,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001591
case_bench_fmu-001592,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,False,False,True,0.6183620942756534,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001592
case_bench_fmu-001593,benchmark_single_fmu_case,complex,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.639598767273128,0.12485157635464761,0.19964056605934882,0.042775226367931456,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001593
case_bench_fmu-001594,benchmark_single_fmu_case,simple,1,True,ablation_stage2_greedy_hybrid,True,True,True,0.7912492365576327,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_greedy_hybrid/case_bench_fmu-001594
