case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,19.96497043594718,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001288
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,6.416045572143048,31.000000005100052,31.00000000510005,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001523
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,30.690136522054672,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001280
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,False,30.961835213936865,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001284
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,31.074097224976867,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001292
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.8210226478986442,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001535
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,False,0.7422095546498895,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.9785245708189905,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.6296080108731985,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001543
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.7243710621260107,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001555
