time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.0,stage1,True,0.0,0.05,0.05,0.0,0.0,10000000.0,5000000.0
0.01,stage1,True,0.0,0.05,0.10833333333333331,0.0,0.0,9777777.777777778,5228571.428571428
0.02,stage1,True,0.0,0.05,0.10281746031746034,-1.0,-0.25,100000.0,21000000.0
0.03,stage1,True,0.0,0.05,-0.06965806878306877,1.0,-2.7755575615628914e-17,13396861.995276017,5026321.271197882
0.04,stage1,True,0.0,0.05,0.2699613020402206,1.0,0.25,21000000.0,100000.0
0.05,stage1,True,0.0,0.05,-0.060938729477614195,-1.0,-5.551115123125783e-17,100000.0,21000000.0
0.06,stage1,True,0.0,0.05,0.11688417662345185,1.0,0.24999999999999983,21000000.0,100000.0
0.07,stage1,True,0.0,0.05,0.16246003600856573,-1.0,-3.885780586188048e-16,100000.0,21000000.0
0.08,stage1,True,0.0,0.05,-0.15190525187787884,1.0,0.2499999999999995,100000.0,21000000.0
0.09,stage1,True,0.0,0.05,0.1651274671667523,1.0,0.4999999999999994,21000000.0,100000.0
0.1,stage1,True,0.0,0.05,0.025890482605357784,-1.0,0.24999999999999917,100000.0,21000000.0
0.11,stage1,True,0.0,0.05,-0.18083543020165735,1.0,0.49999999999999906,21000000.0,100000.0
0.12,stage1,True,0.0,0.05,0.4868513880730321,1.0,0.666666666666666,21000000.0,100000.0
0.13,stage1,True,0.0,0.05,-0.4515827057547077,-1.0,0.41666666666666574,100000.0,21000000.0
0.14,stage1,True,0.0,0.05,0.832964040873946,1.0,0.6111111111111107,21000000.0,100000.0
0.15,stage1,True,0.0,0.05,-1.1449694205541103,-1.0,0.36111111111111116,100000.0,21000000.0
0.16,stage1,True,0.0,0.05,2.0748463764404588,1.0,0.5740740740740743,21000000.0,100000.0
0.17,stage1,True,0.0,0.05,-3.424342765372909,-1.0,0.32407407407407407,100000.0,21000000.0
0.18,stage1,True,0.0,0.05,6.235370366608581,1.0,0.5493827160493823,21000000.0,100000.0
0.19,stage1,True,0.0,0.05,-11.027948426725224,-1.0,0.29938271604938205,100000.0,21000000.0
0.2,stage1,True,0.0,0.05,20.12753804615056,1.0,0.5329218106995882,21000000.0,100000.0
0.21,stage1,True,0.0,0.05,-36.411223552090235,-1.0,0.28292181069958866,100000.0,21000000.0
0.22,stage1,True,0.0,0.05,66.50630356674107,1.0,0.5219478737997261,21000000.0,100000.0
0.23,stage1,True,0.0,0.05,-121.15193105028455,-1.0,0.27194787379972585,100000.0,21000000.0
0.24,stage1,True,0.0,0.05,221.33971332962386,1.0,0.5146319158664835,21000000.0,100000.0
0.25,stage1,True,0.0,0.05,-404.0547921713491,-1.0,0.26463191586648327,100000.0,21000000.0
0.26,stage1,True,0.0,0.05,738.243823906631,1.0,0.5097546105776557,21000000.0,100000.0
0.27,stage1,True,0.0,0.05,-1348.5127613295767,-1.0,0.2597546105776555,100000.0,21000000.0
0.28,stage1,True,0.0,0.05,2463.9040298135474,1.0,0.5065030737184373,21000000.0,100000.0
0.29,stage1,True,0.0,0.05,-4501.541529899623,-1.0,0.25650307371843845,100000.0,21000000.0
0.3,stage1,True,0.0,0.05,8224.939939718013,1.0,0.5043353824789593,21000000.0,100000.0
0.31,stage1,True,0.0,0.05,-15027.780645358613,-1.0,0.25433538247895904,100000.0,21000000.0
0.32,stage1,True,0.0,0.05,27457.888952379948,1.0,0.502890254985973,21000000.0,100000.0
0.33,stage1,True,0.0,0.05,-50169.137749890695,-1.0,0.25289025498597273,100000.0,21000000.0
