time,V_in,V_out
0.0,0.0,1e-06
0.01,0.0,0.0
0.02,0.005000000000000025,3.2646143193058547e-07
0.03,0.009999999999999976,1.4361866503565117e-06
0.04,0.015,3.861960267561063e-06
0.05,0.020000000000000046,7.986346660227457e-06
0.06,0.02500000000000001,1.433120025566174e-05
0.07,0.030000000000000037,2.332893014969599e-05
0.08,0.035,3.540525974419999e-05
0.09,0.03999999999999996,5.101144678034488e-05
0.1,0.044999999999999984,7.050894922526876e-05
0.11,0.05,9.430032800268623e-05
0.12,0.054999999999999986,0.00012283843001616792
0.13,0.05999999999999997,0.00015651265215060718
0.14,0.065,0.00019562571217917381
0.15,0.07,0.0002405750448905098
0.16,0.07500000000000002,0.0002919959348801214
0.17,0.08000000000000003,0.0003498505224529506
0.18,0.08500000000000002,0.00041492958803217387
0.19,0.09,0.000487054035238131
0.2,0.095,0.0005671591432148762
0.21,0.1,0.0006549952812811413
0.22,0.105,0.0007512752802372373
0.23,0.11000000000000001,0.0008563536153286154
0.24,0.11500000000000002,0.0009704728861547678
0.25,0.11999999999999998,0.0010938614555688474
0.26,0.12500000000000003,0.0012265592091216544
0.27,0.13000000000000003,0.0013689278225624255
0.28,0.135,0.0015217597397400645
0.29,0.13999999999999996,0.0016852879256799682
0.3,0.14499999999999996,0.0018594058829354205
0.31,0.15,0.0020443755483301723
0.32,0.15500000000000003,0.0022408212280714767
0.33,0.16,0.0024487196678097045
0.34,0.165,0.002667982444078112
0.35000000000000003,0.17,0.0028993133439946415
0.36,0.17500000000000002,0.0031429639008589447
0.37,0.17999999999999994,0.0033987870947166494
0.38,0.18499999999999994,0.0036675772071134913
0.39,0.18999999999999995,0.003949125476339
0.4,0.19499999999999995,0.004243516444632317
0.41000000000000003,0.2,0.004551362640149542
0.42,0.20499999999999996,0.004872859183331436
0.43,0.21,0.0052075656748036625
0.44,0.215,0.005556199927651227
0.45,0.22,0.00591913523677022
0.46,0.225,0.006296485479301723
0.47000000000000003,0.23000000000000004,0.006688427431486867
0.48,0.23500000000000001,0.007094571119472967
0.49,0.24,0.0075158052575203926
0.5,0.245,0.007951500043651308
0.51,0.25,0.008402057473203203
0.52,0.25500000000000006,0.008868407213506947
0.53,0.26,0.00935028067965236
0.54,0.265,0.009847001499941447
0.55,0.27,0.010359989288537236
0.56,0.275,0.01088805694146122
0.5700000000000001,0.28,0.011432750373882146
0.58,0.28500000000000003,0.011993620796888727
0.59,0.29,0.01257044491514288
0.6,0.295,0.013162892875624877
0.61,0.3,0.013772198239889809
0.62,0.30500000000000005,0.014397541065205775
0.63,0.31000000000000005,0.015039631836980845
0.64,0.315,0.015698926031418
0.65,0.32,0.016375194302865
0.66,0.32500000000000007,0.017067766170956504
0.67,0.33000000000000007,0.017777522929322664
0.68,0.335,0.018504756855088688
0.6900000000000001,0.33999999999999997,0.0192487817292784
0.7000000000000001,0.345,0.020010445611175775
0.71,0.35000000000000003,0.020788801449156076
0.72,0.3549999999999999,0.02158518579364224
0.73,0.36,0.022398658580954675
0.74,0.365,0.023230065926882724
0.75,0.37,0.024078904816674993
0.76,0.375,0.024945549283771677
0.77,0.38000000000000006,0.02582940818764297
0.78,0.385,0.026731086445405887
0.79,0.39000000000000007,0.02765000682747442
0.8,0.3950000000000001,0.028587457872281265
0.81,0.4000000000000001,0.029542225314118795
0.8200000000000001,0.405,0.030515741954137292
0.8300000000000001,0.41000000000000003,0.03150687384038302
0.84,0.415,0.032516904682380235
0.85,0.42,0.03354455198118379
0.86,0.42499999999999993,0.03459084830245769
0.87,0.42999999999999994,0.03565507596126379
0.88,0.43499999999999994,0.03673688025325931
0.89,0.44,0.037837134225204926
0.9,0.44500000000000006,0.03895569093355096
0.91,0.45000000000000007,0.04009191462271384
0.92,0.45499999999999996,0.04124727976047994
0.93,0.45999999999999996,0.04242044709886553
0.9400000000000001,0.46499999999999997,0.04361209923560591
0.9500000000000001,0.47,0.04482280311395116
0.96,0.475,0.04605143532474133
0.97,0.48,0.04729888896640843
0.98,0.485,0.048564280090475816
0.99,0.49,0.04984757785259239
1.0,0.49499999999999994,0.05114960114600459
1.01,0.49999999999999994,0.05246936936453718
1.02,0.505,0.05380853611067403
1.03,0.51,0.0551654308962287
1.04,0.515,0.056541399337948384
1.05,0.52,0.05793504416115226
1.06,0.525,0.05934773141799586
1.07,0.53,0.060778433836056016
1.08,0.535,0.06222728705225819
1.09,0.54,0.0636946798977067
1.1,0.5450000000000002,0.06518007256448027
1.11,0.55,0.06668418375077162
1.12,0.555,0.06820647551770725
1.1300000000000001,0.56,0.06974733370259006
1.1400000000000001,0.5650000000000001,0.07130586533312405
1.1500000000000001,0.5700000000000001,0.07288264828340295
1.16,0.5750000000000001,0.07447762297181997
1.17,0.58,0.0760915736058619
1.18,0.585,0.07772331525746069
1.19,0.59,0.07937341122486573
1.2,0.595,0.08104102041916567
1.21,0.6,0.08272693259706707
1.22,0.605,0.08443028327451652
1.23,0.61,0.0861523439978185
1.24,0.615,0.08789231580160238
1.25,0.62,0.08965074650459914
1.26,0.625,0.0914269397238058
1.27,0.63,0.09322033978532837
1.28,0.635,0.09503224188324598
1.29,0.64,0.09686132665702471
1.3,0.645,0.09870880551193698
1.31,0.65,0.10057339980416112
1.32,0.655,0.10245536494530333
1.33,0.6600000000000001,0.10435609553386216
1.34,0.665,0.10627368798663617
1.35,0.67,0.10820923098884623
1.36,0.6749999999999999,0.11016188950587177
1.37,0.68,0.11213275081940823
1.3800000000000001,0.685,0.11412091549488465
1.3900000000000001,0.6900000000000001,0.11612589493802816
1.4000000000000001,0.6950000000000001,0.11814816778051448
