case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,False,ablation_stage3_llm_generated_script,,,,,,,,,ValueError: llm_generated_script_stage3 received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001288
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,33.4563274490647,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001292
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,33.61979549471289,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001284
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,49.82399413827807,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001280
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,17.414030035957694,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage3_llm_generated_script,True,True,False,17.741391986142844,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001524
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,False,28.831358378753066,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001523
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,16.95611471310258,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001539
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,18.801486149895936,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001543
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,False,ablation_stage3_llm_generated_script,,,,,,,,,ValueError: llm_generated_script_stage3 received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001563
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,15.522267345804721,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001555
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,27.05477080028504,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001541
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,16.533571649808437,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001559
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,17.48802456818521,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001567
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,16.53022657893598,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001570
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,22.542080293875188,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001569
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,16.353626758325845,0.00557080601284945,0.010503657961156586,0.00023958735095170897,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001572
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,22.26161264302209,2.3500646587726526,3.967188212324491,0.09132014417432037,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001571
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,36.08403347013518,2.3500646551837097,3.9671882117969797,0.09132014416217767,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001574
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,54.05401560431346,0.0014232495980820935,0.002880289303790817,0.00033433862265036545,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001573
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,48.32185812620446,0.4084265383863449,0.7364114296620914,0.016797468250903048,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001575
case_bench_fmu-001577,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,19.654533374123275,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001577
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,ablation_stage3_llm_generated_script,True,True,True,48.38255324959755,0.12562653655429085,0.21495061901621337,0.04620251849171014,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001576
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,ablation_stage3_llm_generated_script,True,True,True,16.635580303147435,0.1256265365449299,0.21495061880327024,0.0462025183607517,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001579
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,22.539167233277112,0.4084265383863449,0.7364114296620914,0.016797468250903048,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001578
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,18.71848790626973,0.4084265383640389,0.7364114297029456,0.016797468249888942,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001581
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,ablation_stage3_llm_generated_script,True,True,True,23.104091041255742,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_llm_generated_script/case_bench_fmu-001580
