time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
0.0,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0028021684349001917,0.05538363291357484,0.0
0.001,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.001042890691668627,0.05816328874560564,0.0
0.002,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.003872300504209551,0.015144672556684571,0.0
0.003,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0025536977170441248,0.03216741627799809,0.0
0.004,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.004417806445918493,0.0629945250269903,0.0
0.005,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0006310488795391697,0.0664338107642304,0.0
0.006,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0004592504888247003,0.08580707640200835,0.0
0.007,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0013720942640321637,0.048337164812821104,0.0
0.008,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0033015874161817066,0.023599489123232852,0.0
0.009,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0013492068395398384,0.040351596836502704,0.0
0.01,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002407225683278504,0.041574241477775414,0.0
0.011,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0007280229996438367,0.042511394235495714,0.0
0.012,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0018862405838497734,0.05709660039466131,0.0
0.013,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004494411182157545,0.035581314031948225,0.0
0.014,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0007371679279554906,0.022338390388379755,0.0
0.015,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0002775358807693633,0.04135821246156295,0.0
0.016,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00028530337705292576,0.08364137269874791,0.0
0.017,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0005069281688193394,0.08303584415289045,0.0
0.018,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0006092402852399534,0.03542940567528013,0.0
0.019,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.001225871867553854,0.05069074932906247,0.0
0.02,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00025781407258676096,0.0665978153563519,0.0
