case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,False,ablation_stage3_static_rule_scheduler,,,,,,,,,ValueError: static_rule_scheduler_stage3 received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001288
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,33.559863882604986,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001284
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,33.552099260967225,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001280
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,False,3.0548984641209245,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001523
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,34.506006309296936,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001292
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,2.9279863834381104,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage3_static_rule_scheduler,True,True,False,3.1463335091248155,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001524
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,3.6367958672344685,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage3_static_rule_scheduler,True,True,True,4.075302659999579,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001541
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,False,ablation_stage3_static_rule_scheduler,,,,,,,,,ValueError: static_rule_scheduler_stage3 received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage3_static_rule_scheduler/case_bench_fmu-001563
