case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,True,True,True,0.20567608810961246,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001292
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,True,True,True,0.23528116894885898,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001280
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,False,False,True,0.22088496992364526,4.686,4.733556642737045,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001288
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,True,True,True,0.2446723929606378,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001284
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,False,False,True,0.19385386118665338,31.000000005100052,31.00000000510005,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001523
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,True,True,True,0.21594611927866936,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001539
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,False,False,True,0.24925774103030562,10.0,10.0,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,baseline_b1_rule_sequential,False,False,True,0.3349107950925827,4.30753758620742,4.6888753699884065,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001524
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,True,True,True,0.2857741741463542,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,baseline_b1_rule_sequential,False,False,True,0.2681152271106839,0.9999546068,0.9999546068000001,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b1_rule_sequential/case_bench_fmu-001543
