time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m
0.0,stage1,True,0.0,0.05,0.05
0.01,stage1,True,0.0,0.05,0.05
0.02,stage1,True,0.0,0.05,0.05
0.03,stage1,True,0.0,0.05,0.05
0.04,stage1,True,0.0,0.05,0.05
0.05,stage1,True,0.0,0.05,0.05
0.06,stage1,True,0.0,0.05,0.05
0.07,stage1,True,0.0,0.05,0.05
0.08,stage1,True,0.0,0.05,0.05
0.09,stage1,True,0.0,0.05,0.05
0.1,stage1,True,0.0,0.05,0.05
0.11,stage1,True,0.0,0.05,0.05
0.12,stage1,True,0.0,0.05,0.05
0.13,stage1,True,0.0,0.05,0.05
0.14,stage1,True,0.0,0.05,0.05
0.15,stage1,True,0.0,0.05,0.05
0.16,stage1,True,0.0,0.05,0.05
0.17,stage1,True,0.0,0.05,0.05
0.18,stage1,True,0.0,0.05,0.05
0.19,stage1,True,0.0,0.05,0.05
0.2,stage1,True,0.0,0.05,0.05
0.21,stage1,True,0.0,0.05,0.05
0.22,stage1,True,0.0,0.05,0.05
0.23,stage1,True,0.0,0.05,0.05
0.24,stage1,True,0.0,0.05,0.05
0.25,stage1,True,0.0,0.05,0.05
0.26,stage1,True,0.0,0.05,0.05
0.27,stage1,True,0.0,0.05,0.05
0.28,stage1,True,0.0,0.05,0.05
0.29,stage1,True,0.0,0.05,0.05
0.3,stage1,True,0.0,0.05,0.05
0.31,stage1,True,0.0,0.05,0.05
0.32,stage1,True,0.0,0.05,0.05
0.33,stage1,True,0.0,0.05,0.05
0.34,stage1,True,0.0,0.05,0.05
0.35,stage1,True,0.0,0.05,0.05
0.36,stage1,True,0.0,0.05,0.05
0.37,stage1,True,0.0,0.05,0.05
0.38,stage1,True,0.0,0.05,0.05
0.39,stage1,True,0.0,0.05,0.05
0.4,stage1,True,0.0,0.05,0.05
0.41,stage1,True,0.0,0.05,0.05
0.42,stage1,True,0.0,0.05,0.05
0.43,stage1,True,0.0,0.05,0.05
0.44,stage1,True,0.0,0.05,0.05
0.45,stage1,True,0.0,0.05,0.05
0.46,stage1,True,0.0,0.05,0.05
0.47,stage1,True,0.0,0.05,0.05
0.48,stage1,True,0.0,0.05,0.05
0.49,stage1,True,0.0,0.05,0.05
0.5,stage1,True,0.0,0.05,0.05
0.51,stage1,True,0.0,0.05,0.05
0.52,stage1,True,0.0,0.05,0.05
0.53,stage1,True,0.0,0.05,0.05
0.54,stage1,True,0.0,0.05,0.05
0.55,stage1,True,0.0,0.05,0.05
0.56,stage1,True,0.0,0.05,0.05
0.57,stage1,True,0.0,0.05,0.05
0.58,stage1,True,0.0,0.05,0.05
0.59,stage1,True,0.0,0.05,0.05
0.6,stage1,True,0.0,0.05,0.05
0.61,stage1,True,0.0,0.05,0.05
0.62,stage1,True,0.0,0.05,0.05
0.63,stage1,True,0.0,0.05,0.05
0.64,stage1,True,0.0,0.05,0.05
0.65,stage1,True,0.0,0.05,0.05
0.66,stage1,True,0.0,0.05,0.05
0.67,stage1,True,0.0,0.05,0.05
0.68,stage1,True,0.0,0.05,0.05
0.69,stage1,True,0.0,0.05,0.05
0.7,stage1,True,0.0,0.05,0.05
0.71,stage1,True,0.0,0.05,0.05
0.72,stage1,True,0.0,0.05,0.05
0.73,stage1,True,0.0,0.05,0.05
0.74,stage1,True,0.0,0.05,0.05
0.75,stage1,True,0.0,0.05,0.05
0.76,stage1,True,0.0,0.05,0.05
0.77,stage1,True,0.0,0.05,0.05
0.78,stage1,True,0.0,0.05,0.05
0.79,stage1,True,0.0,0.05,0.05
0.8,stage1,True,0.0,0.05,0.05
0.81,stage1,True,0.0,0.05,0.05
0.82,stage1,True,0.0,0.05,0.05
0.83,stage1,True,0.0,0.05,0.05
0.84,stage1,True,0.0,0.05,0.05
0.85,stage1,True,0.0,0.05,0.05
0.86,stage1,True,0.0,0.05,0.05
0.87,stage1,True,0.0,0.05,0.05
0.88,stage1,True,0.0,0.05,0.05
0.89,stage1,True,0.0,0.05,0.05
0.9,stage1,True,0.0,0.05,0.05
0.91,stage1,True,0.0,0.05,0.05
0.92,stage1,True,0.0,0.05,0.05
0.93,stage1,True,0.0,0.05,0.05
0.94,stage1,True,0.0,0.05,0.05
0.95,stage1,True,0.0,0.05,0.05
0.96,stage1,True,0.0,0.05,0.05
0.97,stage1,True,0.0,0.05,0.05
0.98,stage1,True,0.0,0.05,0.05
0.99,stage1,True,0.0,0.05,0.05
1.0,stage1,True,0.0,0.05,0.05
