time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,soc,v_term_V
0.0,stage1,25.0,True,40.0,35.0,30.0,0.85,359.6586
0.01,stage1,25.0,True,40.0,35.0,29.99990769230769,0.85,359.6586
0.02,stage1,25.0,True,40.0,35.0,29.999815386319526,0.85,359.6586
0.03,stage1,25.0,True,40.0,35.0,29.99972308203547,0.85,359.6586
0.04,stage1,25.0,True,40.0,35.0,29.999630779455494,0.85,359.6586
0.05,stage1,25.0,True,40.0,35.0,29.999538478579566,0.85,359.6586
0.06,stage1,25.0,True,40.0,35.0,29.999446179407656,0.85,359.6586
0.07,stage1,25.0,True,40.0,35.0,29.99935388193973,0.85,359.6586
0.08,stage1,25.0,True,40.0,35.0,29.999261586175756,0.85,359.6586
0.09,stage1,25.0,True,40.0,35.0,29.999169292115702,0.85,359.6586
0.1,stage1,25.0,True,40.0,35.0,29.99907699975954,0.85,359.6586
0.11,stage1,25.0,True,40.0,35.0,29.998984709107237,0.85,359.6586
0.12,stage1,25.0,True,40.0,35.0,29.99889242015876,0.85,359.6586
0.13,stage1,25.0,True,40.0,35.0,29.99880013291408,0.85,359.6586
0.14,stage1,25.0,True,40.0,35.0,29.998707847373165,0.85,359.6586
0.15,stage1,25.0,True,40.0,35.0,29.99861556353598,0.85,359.6586
0.16,stage1,25.0,True,40.0,35.0,29.998523281402502,0.85,359.6586
0.17,stage1,25.0,True,40.0,35.0,29.99843100097269,0.85,359.6586
0.18,stage1,25.0,True,40.0,35.0,29.99833872224652,0.85,359.6586
0.19,stage1,25.0,True,40.0,35.0,29.998246445223955,0.85,359.6586
0.2,stage1,25.0,True,40.0,35.0,29.998154169904968,0.85,359.6586
0.21,stage1,25.0,True,40.0,35.0,29.998061896289524,0.85,359.6586
0.22,stage1,25.0,True,40.0,35.0,29.997969624377593,0.85,359.6586
0.23,stage1,25.0,True,40.0,35.0,29.99787735416914,0.85,359.6586
0.24,stage1,25.0,True,40.0,35.0,29.99778508566414,0.85,359.6586
0.25,stage1,25.0,True,40.0,35.0,29.99769281886256,0.85,359.6586
0.26,stage1,25.0,True,40.0,35.0,29.997600553764368,0.85,359.6586
0.27,stage1,25.0,True,40.0,35.0,29.99750829036953,0.85,359.6586
0.28,stage1,25.0,True,40.0,35.0,29.997416028678018,0.85,359.6586
0.29,stage1,25.0,True,40.0,35.0,29.997323768689796,0.85,359.6586
0.3,stage1,25.0,True,40.0,35.0,29.997231510404834,0.85,359.6586
0.31,stage1,25.0,True,40.0,35.0,29.997139253823104,0.85,359.6586
0.32,stage1,25.0,True,40.0,35.0,29.997046998944572,0.85,359.6586
0.33,stage1,25.0,True,40.0,35.0,29.99695474576921,0.85,359.6586
0.34,stage1,25.0,True,40.0,35.0,29.99686249429698,0.85,359.6586
0.35,stage1,25.0,True,40.0,35.0,29.996770244527855,0.85,359.6586
0.36,stage1,25.0,True,40.0,35.0,29.996677996461802,0.85,359.6586
0.37,stage1,25.0,True,40.0,35.0,29.99658575009879,0.85,359.6586
0.38,stage1,25.0,True,40.0,35.0,29.99649350543879,0.85,359.6586
0.39,stage1,25.0,True,40.0,35.0,29.996401262481765,0.85,359.6586
0.4,stage1,25.0,True,40.0,35.0,29.996309021227688,0.85,359.6586
0.41,stage1,25.0,True,40.0,35.0,29.996216781676527,0.85,359.6586
0.42,stage1,25.0,True,40.0,35.0,29.996124543828248,0.85,359.6586
0.43,stage1,25.0,True,40.0,35.0,29.996032307682825,0.85,359.6586
0.44,stage1,25.0,True,40.0,35.0,29.99594007324022,0.85,359.6586
0.45,stage1,25.0,True,40.0,35.0,29.995847840500407,0.85,359.6586
0.46,stage1,25.0,True,40.0,35.0,29.99575560946335,0.85,359.6586
0.47,stage1,25.0,True,40.0,35.0,29.995663380129024,0.85,359.6586
0.48,stage1,25.0,True,40.0,35.0,29.99557115249739,0.85,359.6586
0.49,stage1,25.0,True,40.0,35.0,29.99547892656842,0.85,359.6586
0.5,stage1,25.0,True,40.0,35.0,29.995386702342085,0.85,359.6586
0.51,stage1,25.0,True,40.0,35.0,29.995294479818348,0.85,359.6586
0.52,stage1,25.0,True,40.0,35.0,29.995202258997182,0.85,359.6586
0.53,stage1,25.0,True,40.0,35.0,29.995110039878554,0.85,359.6586
0.54,stage1,25.0,True,40.0,35.0,29.995017822462433,0.85,359.6586
0.55,stage1,25.0,True,40.0,35.0,29.994925606748787,0.85,359.6586
0.56,stage1,25.0,True,40.0,35.0,29.994833392737586,0.85,359.6586
0.57,stage1,25.0,True,40.0,35.0,29.994741180428797,0.85,359.6586
0.58,stage1,25.0,True,40.0,35.0,29.99464896982239,0.85,359.6586
0.59,stage1,25.0,True,40.0,35.0,29.994556760918332,0.85,359.6586
0.6,stage1,25.0,True,40.0,35.0,29.994464553716593,0.85,359.6586
0.61,stage1,25.0,True,40.0,35.0,29.99437234821714,0.85,359.6586
0.62,stage1,25.0,True,40.0,35.0,29.994280144419943,0.85,359.6586
0.63,stage1,25.0,True,40.0,35.0,29.99418794232497,0.85,359.6586
0.64,stage1,25.0,True,40.0,35.0,29.99409574193219,0.85,359.6586
0.65,stage1,25.0,True,40.0,35.0,29.99400354324157,0.85,359.6586
0.66,stage1,25.0,True,40.0,35.0,29.99391134625308,0.85,359.6586
0.67,stage1,25.0,True,40.0,35.0,29.993819150966686,0.85,359.6586
0.68,stage1,25.0,True,40.0,35.0,29.99372695738236,0.85,359.6586
0.69,stage1,25.0,True,40.0,35.0,29.99363476550007,0.85,359.6586
0.7,stage1,25.0,True,40.0,35.0,29.993542575319783,0.85,359.6586
0.71,stage1,25.0,True,40.0,35.0,29.99345038684147,0.85,359.6586
0.72,stage1,25.0,True,40.0,35.0,29.9933582000651,0.85,359.6586
