time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.0,stage1,True,0.0,0.05,0.05,0.0,0.0,10000000.0,5000000.0
0.01,stage1,True,0.0,0.05,0.10833333333333331,0.0,0.0,9777777.777777778,5228571.428571428
0.02,stage1,True,0.0,0.05,0.10281746031746034,0.0,0.0,100000.0,21000000.0
0.03,stage1,True,0.0,0.05,-0.06965806878306877,0.0,0.0,13396861.995276017,5026321.271197882
0.04,stage1,True,0.0,0.05,0.2699613020402206,0.0,0.0,21000000.0,100000.0
0.05,stage1,True,0.0,0.05,-0.060938729477614195,0.0,0.0,100000.0,21000000.0
0.06,stage1,True,0.0,0.05,0.11688417662345185,0.0,0.0,21000000.0,100000.0
0.07,stage1,True,0.0,0.05,0.16246003600856573,0.0,0.0,100000.0,21000000.0
0.08,stage1,True,0.0,0.05,-0.15190525187787884,0.0,0.0,100000.0,21000000.0
0.09,stage1,True,0.0,0.05,0.1651274671667523,0.0,0.0,21000000.0,100000.0
0.1,stage1,True,0.0,0.05,0.025890482605357784,0.0,0.0,100000.0,21000000.0
0.11,stage1,True,0.0,0.05,-0.18083543020165735,0.0,0.0,21000000.0,100000.0
0.12,stage1,True,0.0,0.05,0.4868513880730321,0.0,0.0,21000000.0,100000.0
0.13,stage1,True,0.0,0.05,-0.4515827057547077,0.0,0.0,100000.0,21000000.0
0.14,stage1,True,0.0,0.05,0.832964040873946,0.0,0.0,21000000.0,100000.0
0.15,stage1,True,0.0,0.05,-1.1449694205541103,0.0,0.0,100000.0,21000000.0
0.16,stage1,True,0.0,0.05,2.0748463764404588,0.0,0.0,21000000.0,100000.0
0.17,stage1,True,0.0,0.05,-3.424342765372909,0.0,0.0,100000.0,21000000.0
0.18,stage1,True,0.0,0.05,6.235370366608581,0.0,0.0,21000000.0,100000.0
0.19,stage1,True,0.0,0.05,-11.027948426725224,0.0,0.0,100000.0,21000000.0
0.2,stage1,True,0.0,0.05,20.12753804615056,0.0,0.0,21000000.0,100000.0
0.21,stage1,True,0.0,0.05,-36.411223552090235,0.0,0.0,100000.0,21000000.0
0.22,stage1,True,0.0,0.05,66.50630356674107,0.0,0.0,21000000.0,100000.0
0.23,stage1,True,0.0,0.05,-121.15193105028455,0.0,0.0,100000.0,21000000.0
0.24,stage1,True,0.0,0.05,221.33971332962386,0.0,0.0,21000000.0,100000.0
0.25,stage1,True,0.0,0.05,-404.0547921713491,0.0,0.0,100000.0,21000000.0
0.26,stage1,True,0.0,0.05,738.243823906631,0.0,0.0,21000000.0,100000.0
0.27,stage1,True,0.0,0.05,-1348.5127613295767,0.0,0.0,100000.0,21000000.0
0.28,stage1,True,0.0,0.05,2463.9040298135474,0.0,0.0,21000000.0,100000.0
0.29,stage1,True,0.0,0.05,-4501.541529899623,0.0,0.0,100000.0,21000000.0
0.3,stage1,True,0.0,0.05,8224.939939718013,0.0,0.0,21000000.0,100000.0
0.31,stage1,True,0.0,0.05,-15027.780645358613,0.0,0.0,100000.0,21000000.0
0.32,stage1,True,0.0,0.05,27457.888952379948,0.0,0.0,21000000.0,100000.0
0.33,stage1,True,0.0,0.05,-50169.137749890695,0.0,0.0,100000.0,21000000.0
0.34,stage1,True,0.0,0.05,91666.18994329705,0.0,0.0,21000000.0,100000.0
0.35,stage1,True,0.0,0.05,-167486.91531541903,0.0,0.0,100000.0,21000000.0
0.36,stage1,True,0.0,0.05,306022.600570985,0.0,0.0,21000000.0,100000.0
0.37,stage1,True,0.0,0.05,-559146.830212128,0.0,0.0,100000.0,21000000.0
