case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.6664558020420372,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001280
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.739709550049156,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001284
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.7489809431135654,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001292
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.9393703988753259,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001288
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,True,0.4720961698330939,31.000000005100052,31.00000000510005,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001523
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.4190710708498955,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,baseline_b3_graph_aware,False,False,True,0.5555001883767545,4.307537586207421,4.6888753699884065,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001524
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.5230135237798095,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001539
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.5577851762063801,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001555
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.742293129209429,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-001541
