time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
0.0,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,26.959587986848234,0.1,30.0
0.1,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,35.0,0.09333333333333334,29.999857327665822
0.2,stage1,35.0,0,0.8,29.99999999843561,381.184,0.0,0.0,0.0,0,35.0,0.08711111111111111,30.001275925979012
0.3,stage1,35.0,0,0.8,30.000000012426042,381.184,0.0,0.0,0.0,0,35.0,0.08130370370370371,30.002655316335836
0.4,stage1,35.0,0,0.8,30.000000041541217,381.184,0.0,0.0,0.0,0,35.0,0.07588345679012345,30.00399710354613
0.5,stage1,35.0,0,0.8,30.00000008536865,381.184,0.0,0.0,0.0,0,35.0,0.0708245596707819,30.00530282608358
0.6,stage1,35.0,0,0.8,30.000000143512736,381.184,0.0,0.0,0.0,0,35.0,0.06610292235939644,30.006573958870927
0.7,stage1,35.0,0,0.8,30.000000215594046,381.184,0.0,0.0,0.0,0,35.0,0.06169606086877001,30.007811915944863
0.8,stage1,35.0,0,0.8,30.000000301248654,381.184,0.0,0.0,0.0,0,35.0,0.05758299014418534,30.009018053005992
0.9,stage1,35.0,0,0.8,30.00000040012751,381.184,0.0,0.0,0.0,0,35.0,0.05374412413457298,30.010193669859156
1.0,stage1,35.0,0,0.8,30.00000051189582,381.184,0.0,0.0,0.0,0,35.0,0.05016118252560145,30.011340012748995
1.1,stage1,35.0,0,0.8,30.000000636232453,381.184,0.0,0.0,0.0,0,35.0,0.04681710369056135,30.012458276595474
1.2,stage1,35.0,0,0.8,30.000000772829388,381.184,0.0,0.0,0.0,0,35.0,0.04369596344452393,30.013549607133864
1.3,stage1,35.0,0,0.8,30.000000921391166,381.184,0.0,0.0,0.0,0,35.0,0.040782899214889,30.0146151029634
1.4,stage1,35.0,0,0.8,30.000001081634384,381.184,0.0,0.0,0.0,0,35.0,0.03806403926722974,30.01565581750872
1.5,stage1,35.0,0,0.8,30.000001253287188,381.184,0.0,0.0,0.0,0,35.0,0.03552643664941442,30.016672760897908
1.6,stage1,35.0,0,0.8,30.000001436088805,381.184,0.0,0.0,0.0,0,35.0,0.03315800753945346,30.01766690176087
1.7,stage1,35.0,0,0.8,30.000001629789086,381.184,0.0,0.0,0.0,0,35.0,0.030947473703489894,30.018639168951484
1.8,stage1,35.0,0,0.8,30.00000183414807,381.184,0.0,0.0,0.0,0,35.0,0.0288843087899239,30.01959045319695
1.9,stage1,35.0,0,0.8,30.00000204893556,381.184,0.0,0.0,0.0,0,35.0,0.026958688203928976,30.020521608677466
2.0,stage1,35.0,0,0.8,30.000002273930733,381.184,0.0,0.0,0.0,0,35.0,0.025161442323667044,30.02143345453928
