time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,theta_rad,x_m,force_cmd_N
0.0,stage1,0.0,0.0,0.0,0.12,0.0,0.0
0.01,stage1,0.0,0.0,0.0,0.12009910404306938,-0.00016819927915060956,-1.9199999999999997
0.02,stage1,0.0,0.0,0.0,0.12060562555125165,-0.0006595337285647531,-3.475293391356571
0.03,stage1,0.0,0.0,0.0,0.12178611292760672,-0.0016069665465597762,-4.8114611617884755
0.04,stage1,0.0,0.0,0.0,0.12388638338132142,-0.003132564494786043,-6.040262545938207
0.05,stage1,0.0,0.0,0.0,0.12714820110113578,-0.00535628260490959,-7.250571538684894
0.06,stage1,0.0,0.0,0.0,0.13182309884032967,-0.008403256080453243,-8.51645826002741
0.07,stage1,0.0,0.0,0.0,0.138166638329155,-0.01240121459777481,-9.813166608021929
0.08,stage1,0.0,0.0,0.0,0.14638012442441198,-0.01745143086272734,-10.850533286417543
0.09,stage1,0.0,0.0,0.0,0.156619594541028,-0.023633777466477233,-11.680426629134033
0.1,stage1,0.0,0.0,0.0,0.16900289797692697,-0.03101074442662646,-12.344341303307226
0.11,stage1,0.0,0.0,0.0,0.18361523812751424,-0.03963062195542284,-12.875473042645782
0.12,stage1,0.0,0.0,0.0,0.20051348076931153,-0.049530013406151055,-13.300378434116626
0.13,stage1,0.0,0.0,0.0,0.21972947909768892,-0.06073581255374618,-13.640302747293301
0.14,stage1,0.0,0.0,0.0,0.2412726264810942,-0.07326675534566468,-13.912242197834642
0.15,stage1,0.0,0.0,0.0,0.26513181751218223,-0.08713463743959825,-14.129793758267713
0.16,stage1,0.0,0.0,0.0,0.29127697415933784,-0.10234527396355728,-14.30383500661417
0.17,stage1,0.0,0.0,0.0,0.31966027434539485,-0.11889926594923306,-14.443068005291336
0.18,stage1,0.0,0.0,0.0,0.3502172031004738,-0.13679262792489308,-14.554454404233068
0.19,stage1,0.0,0.0,0.0,0.3828675298358032,-0.1560173224756669,-14.643563523386455
0.2,stage1,0.0,0.0,0.0,0.4175162979075349,-0.17656173959884328,-14.714850818709163
0.21,stage1,0.0,0.0,0.0,0.45405489361122614,-0.19841115097670728,-14.77188065496733
0.22,stage1,0.0,0.0,0.0,0.49236224081198154,-0.22154816162583593,-14.817504523973863
0.23,stage1,0.0,0.0,0.0,0.5323061450117782,-0.24595317373042988,-14.85400361917909
0.24,stage1,0.0,0.0,0.0,0.5737447878982187,-0.2716048699958231,-14.883202895343272
0.25,stage1,0.0,0.0,0.0,0.6165283519399657,-0.29848071689219746,-14.906562316274618
0.26,stage1,0.0,0.0,0.0,0.6605007362581975,-0.3265574821102526,-14.925249853019695
0.27,stage1,0.0,0.0,0.0,0.7055013115420881,-0.3558117558279176,-14.940199882415756
0.28,stage1,0.0,0.0,0.0,0.7513666544244908,-0.3862204622994139,-14.952159905932605
0.29,stage1,0.0,0.0,0.0,0.7979322009621671,-0.41776134696278855,-14.961727924746084
0.3,stage1,0.0,0.0,0.0,0.8450337642771555,-0.45041342465107725,-14.969382339796867
0.31,stage1,0.0,0.0,0.0,0.8925088718372199,-0.48415737632287426,-14.975505871837495
0.32,stage1,0.0,0.0,0.0,0.9401978915742252,-0.5189758845953599,-14.980404697469996
0.33,stage1,0.0,0.0,0.0,0.9879449311441482,-0.5548539017956535,-14.984323757975996
0.34,stage1,0.0,0.0,0.0,1.0355985093246516,-0.5917788477867834,-14.987459006380798
0.35,stage1,0.0,0.0,0.0,1.083012011396924,-0.6297407380921004,-14.989967205104637
0.36,stage1,0.0,0.0,0.0,1.1300439504405688,-0.6687322455718768,-14.99197376408371
0.37,stage1,0.0,0.0,0.0,1.176558063374723,-0.7087487009593347,-14.993579011266968
0.38,stage1,0.0,0.0,0.0,1.222423274340987,-0.7497880389146196,-14.994863209013575
0.39,stage1,0.0,0.0,0.0,1.267513559000191,-0.7918506969640102,-14.99589056721086
0.4,stage1,0.0,0.0,0.0,1.3117077420455576,-0.8349394748708201,-14.996712453768689
0.41,stage1,0.0,0.0,0.0,1.3548892573234974,-0.8790593617694779,-14.99736996301495
0.42,stage1,0.0,0.0,0.0,1.3969458959795533,-0.9242173379193395,-14.99789597041196
0.43,stage1,0.0,0.0,0.0,1.4377695635122887,-0.970422157316731,-14.998316776329569
0.44,stage1,0.0,0.0,0.0,1.477256061922143,-1.0176841167337307,-14.998653421063654
0.45,stage1,0.0,0.0,0.0,1.51530490858298,-1.066014816093454,-14.998922736850924
0.46,stage1,0.0,0.0,0.0,1.5518191992482884,-1.115426914481292,-14.999138189480739
0.47,stage1,0.0,0.0,0.0,1.5867055188659644,-1.1659338855451966,-14.99931055158459
0.48,stage1,0.0,0.0,0.0,1.6198739006944687,-1.2175497755551592,-14.999448441267672
0.49,stage1,0.0,0.0,0.0,1.6512378316278309,-1.2702889669616306,-14.999558753014139
0.5,stage1,0.0,0.0,0.0,1.6807142996567759,-1.3241659498988294,-14.999647002411312
0.51,stage1,0.0,0.0,0.0,1.7082238780042382,-1.3791951037052135,-14.99971760192905
0.52,stage1,0.0,0.0,0.0,1.7336921808396577,-1.4353855951191627,-14.941217253131233
0.53,stage1,0.0,0.0,0.0,1.757052381899505,-1.492736150852511,-14.764245902081951
0.54,stage1,0.0,0.0,0.0,1.7782475208555728,-1.5512326522167392,-14.442782631821139
0.55,stage1,0.0,0.0,0.0,1.7972326847889148,-1.6108463428935669,-13.958071763399943
0.56,stage1,0.0,0.0,0.0,1.813976857717116,-1.671532610091278,-13.297980462006494
0.57,stage1,0.0,0.0,0.0,1.8284642811449112,-1.7332303035629364,-12.456406820938799
0.58,stage1,0.0,0.0,0.0,1.840695219904359,-1.7958615546242989,-11.432684416290094
0.59,stage1,0.0,0.0,0.0,1.85068607889743,-1.859332050748139,-10.230950867728511
0.6,stage1,0.0,0.0,0.0,1.8584688654058537,-1.923531712684595,-8.859466220108034
0.61,stage1,0.0,0.0,0.0,1.8640900355945276,-1.9883357122567658,-7.329881923952893
0.62,stage1,0.0,0.0,0.0,1.867608800072579,-2.0536057615466787,-5.656472657288454
0.63,stage1,0.0,0.0,0.0,1.8690949899007427,-2.119191599229832,-3.8553510644528606
0.64,stage1,0.0,0.0,0.0,1.8686266001967526,-2.1849325979814926,-1.9436897269666287
0.65,stage1,0.0,0.0,0.0,1.866287133482893,-2.2506594183530284,0.06102441073040232
0.66,stage1,0.0,0.0,0.0,1.8621628600900333,-2.316195639088724,2.1416798804148978
0.67,stage1,0.0,0.0,0.0,1.8563400999696171,-2.3813593009982132,4.282155656659193
0.68,stage1,0.0,0.0,0.0,1.8489006072684138,-2.445967867795786,6.4257245253273565
0.69,stage1,0.0,0.0,0.0,1.8398998453452988,-2.509874806430042,8.140579620261867
0.7,stage1,0.0,0.0,0.0,1.8293709753832137,-2.572962324795118,9.512463696209496
0.71,stage1,0.0,0.0,0.0,1.817328223124892,-2.6351355263660694,10.609970956967597
0.72,stage1,0.0,0.0,0.0,1.8037696718099265,-2.6963177024048375,11.487976765574079
0.73,stage1,0.0,0.0,0.0,1.788679544433843,-2.756446536187214,12.190381412459264
