time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.0,stage1,True,0.0,0.05,0.05,0.0,0.0,10000000.0,5000000.0
0.01,stage1,True,0.0,0.05,0.10833333333333331,0.0,0.0,9777777.777777778,5228571.428571428
0.02,stage1,True,0.0,0.05,0.10281746031746034,-1.0,-0.25,100000.0,21000000.0
0.03,stage1,True,0.0,0.05,-0.06965806878306877,1.0,-2.7755575615628914e-17,13396861.995276023,5026321.271197857
0.04,stage1,True,0.0,0.05,0.26996130204022084,1.0,0.25,21000000.0,100000.0
0.05,stage1,True,0.0,0.05,-0.060938729477614695,-1.0,-5.551115123125783e-17,100000.0,21000000.0
0.06,stage1,True,0.0,0.05,0.11688417662345271,1.0,0.24999999999999983,21000000.0,100000.0
0.07,stage1,True,0.0,0.05,0.16246003600856412,-1.0,-3.885780586188048e-16,100000.0,21000000.0
0.08,stage1,True,0.0,0.05,-0.15190525187787596,1.0,0.2499999999999995,21000000.0,100000.0
0.09,stage1,True,0.0,0.05,0.5482941338334133,1.0,0.4999999999999994,21000000.0,100000.0
0.1,stage1,True,0.0,0.05,-0.5169289618390787,-1.0,0.24999999999999917,100000.0,21000000.0
0.11,stage1,True,0.0,0.05,0.9716199629804183,1.0,0.49999999999999906,21000000.0,100000.0
0.12,stage1,True,0.0,0.05,-1.3904083356015653,-1.0,0.24999999999999917,100000.0,21000000.0
0.13,stage1,True,0.0,0.05,2.526543447670875,1.0,0.4999999999999994,21000000.0,100000.0
0.14,stage1,True,0.0,0.05,-4.2483261359015945,-1.0,0.24999999999999917,100000.0,21000000.0
0.15,stage1,True,0.0,0.05,7.741452944947019,1.0,0.49999999999999867,21000000.0,100000.0
0.16,stage1,True,0.0,0.05,-13.779552940601212,-1.0,0.24999999999999845,100000.0,21000000.0
0.17,stage1,True,0.0,0.05,25.15520637456204,1.0,0.49999999999999867,21000000.0,100000.0
0.18,stage1,True,0.0,0.05,-45.59745706941345,-1.0,0.24999999999999914,100000.0,21000000.0
0.19,stage1,True,0.0,0.05,83.29088562925767,1.0,0.49999999999999933,21000000.0,100000.0
0.2,stage1,True,0.0,0.05,-151.81976411017564,-1.0,0.2499999999999991,100000.0,21000000.0
0.21,stage1,True,0.0,0.05,277.37424671135653,1.0,0.49999999999999867,21000000.0,100000.0
0.22,stage1,True,0.0,0.05,-506.4379225903892,-1.0,0.24999999999999845,100000.0,21000000.0
0.23,stage1,True,0.0,0.05,925.3124920365713,1.0,0.49999999999999867,21000000.0,100000.0
0.24,stage1,True,0.0,0.05,-1690.3140556612539,-1.0,0.24999999999999914,100000.0,21000000.0
0.25,stage1,True,0.0,0.05,3088.4240312142188,1.0,0.49999999999999933,21000000.0,100000.0
0.26,stage1,True,0.0,0.05,-5642.629169299433,-1.0,0.2499999999999991,100000.0,21000000.0
0.27,stage1,True,0.0,0.05,10309.87076325156,1.0,0.49999999999999933,21000000.0,100000.0
0.28,stage1,True,0.0,0.05,-18837.248374914343,-1.0,0.2499999999999991,100000.0,21000000.0
0.29,stage1,True,0.0,0.05,34418.33302023334,1.0,0.49999999999999795,21000000.0,100000.0
0.3,stage1,True,0.0,0.05,-62886.867643183396,-1.0,0.24999999999999772,100000.0,21000000.0
0.31,stage1,True,0.0,0.05,114903.30700968514,1.0,0.49999999999999795,21000000.0,100000.0
0.32,stage1,True,0.0,0.05,-209944.46191277535,-1.0,0.24999999999999772,100000.0,21000000.0
0.33,stage1,True,0.0,0.05,383598.6293836969,1.0,0.49999999999999795,21000000.0,100000.0
