case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,9.21183696296066,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001280
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,27.219404809176922,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001288
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,30.54949617618695,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001292
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,30.56666308362037,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001284
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.14853719901293516,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001535
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.2955285618081689,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.2885717209428549,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.24841575603932142,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001543
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.1469070939347148,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001555
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.2407074337825179,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001559
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.34641673788428307,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001563
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,current_pipeline,True,True,True,0.24990516668185592,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_current_pipeline/case_bench_fmu-001567
